model_type,config_id,fold,n_features,rmse,mae,r2,target_name,dataset_name
mlp,relu_small,1,28.0,22.542431751953185,18.87519486926052,0.2723024324954265,viscosity,compact_v3_full
mlp,relu_small,2,27.0,20.66130779977605,18.342265352222896,0.04136070171011108,viscosity,compact_v3_full
mlp,relu_small,3,27.0,381.0710203097093,213.45418515015763,-0.14624170217449395,viscosity,compact_v3_full
mlp,relu_small,4,27.0,28.487480423888314,22.489577570627567,0.05824025229434826,viscosity,compact_v3_full
mlp,relu_small,5,28.0,59.70024153267499,37.14151439212383,-1.6173280613634047,viscosity,compact_v3_full
mlp,relu_mid,1,28.0,35.40829377469081,28.21966989199609,-0.7953924554349197,viscosity,compact_v3_full
mlp,relu_mid,2,27.0,31.169364552628796,27.386865442171192,-1.1817024034472285,viscosity,compact_v3_full
mlp,relu_mid,3,27.0,373.13299787993697,207.11899420870913,-0.09898477020914642,viscosity,compact_v3_full
mlp,relu_mid,4,27.0,31.29993358072851,27.277573659183453,-0.13689112571162365,viscosity,compact_v3_full
mlp,relu_mid,5,28.0,109.00182287032189,57.72313996483261,-7.725162150536587,viscosity,compact_v3_full
mlp,relu_wide,1,28.0,38.93252195248927,30.528750581628888,-1.1705733699274203,viscosity,compact_v3_full
mlp,relu_wide,2,27.0,27.240990946158345,23.26207892786185,-0.6664236362024183,viscosity,compact_v3_full
mlp,relu_wide,3,27.0,375.0832975821692,214.85997619797467,-0.11050318930227898,viscosity,compact_v3_full
mlp,relu_wide,4,27.0,29.45461999797951,23.995598340560907,-0.0067899991849660335,viscosity,compact_v3_full
mlp,relu_wide,5,28.0,127.61058769349538,62.42742356390439,-10.958574200483609,viscosity,compact_v3_full
mlp,tanh_mid,1,28.0,29.694061491896864,23.640064721972134,-0.26266634010294165,viscosity,compact_v3_full
mlp,tanh_mid,2,27.0,30.466714172029512,26.697519673843775,-1.084446964073106,viscosity,compact_v3_full
mlp,tanh_mid,3,27.0,417.8176079644391,240.9416039677625,-0.37796388689812965,viscosity,compact_v3_full
mlp,tanh_mid,4,27.0,41.17852794735581,28.25291857643077,-0.9677670283865987,viscosity,compact_v3_full
mlp,tanh_mid,5,28.0,71.23926675942343,41.65063997421919,-2.7268753425931225,viscosity,compact_v3_full
mlp,tanh_wide,1,28.0,25.97516858236435,21.31830551264551,0.03380197387253092,viscosity,compact_v3_full
mlp,tanh_wide,2,27.0,24.632378110023655,21.001595841028543,-0.3625495292639085,viscosity,compact_v3_full
mlp,tanh_wide,3,27.0,392.60093751474335,225.32055091902083,-0.2166538194664711,viscosity,compact_v3_full
mlp,tanh_wide,4,27.0,39.26258710164635,30.22344805977719,-0.7889156783195601,viscosity,compact_v3_full
mlp,tanh_wide,5,28.0,136.69090861212158,68.47135487616127,-12.72098361717559,viscosity,compact_v3_full
mlp,relu_deep,1,28.0,27.761853469650866,22.00978490903252,-0.10368797661067819,viscosity,compact_v3_full
mlp,relu_deep,2,27.0,20.69934619787247,18.848705506036247,0.03782765621642448,viscosity,compact_v3_full
mlp,relu_deep,3,27.0,388.355297461801,223.81611602633362,-0.19048198122257953,viscosity,compact_v3_full
mlp,relu_deep,4,27.0,25.944857437787896,19.446475222704272,0.21884966758121205,viscosity,compact_v3_full
mlp,relu_deep,5,28.0,89.6033548972678,52.02682166474722,-4.895959971817796,viscosity,compact_v3_full
ridge,alpha_0.1,1,,54.609749773906515,42.999975933917234,-3.270608590456699,viscosity,compact_v3_full
ridge,alpha_0.1,2,,83.43104958474852,66.01647040938612,-14.631297453357702,viscosity,compact_v3_full
ridge,alpha_0.1,3,,366.74682801736515,215.8959623314807,-0.061688447771340416,viscosity,compact_v3_full
ridge,alpha_0.1,4,,93.77920120756707,74.1923079884829,-9.20575416637285,viscosity,compact_v3_full
ridge,alpha_0.1,5,,163.62068819961874,132.19097030162044,-18.659950275368086,viscosity,compact_v3_full
ridge,alpha_0.3,1,,66.58230461170628,57.267213291528655,-5.34844034244158,viscosity,compact_v3_full
ridge,alpha_0.3,2,,69.78639288121745,52.75266339689298,-9.93656945496041,viscosity,compact_v3_full
ridge,alpha_0.3,3,,360.2855517236054,208.15014633517998,-0.024608729557266784,viscosity,compact_v3_full
ridge,alpha_0.3,4,,76.85460045529581,56.714149201119525,-5.854436900896889,viscosity,compact_v3_full
ridge,alpha_0.3,5,,159.2927025958482,124.85263647272798,-17.633641960203516,viscosity,compact_v3_full
ridge,alpha_1.0,1,,92.34568578751656,80.62758309511634,-11.211882525808418,viscosity,compact_v3_full
ridge,alpha_1.0,2,,58.72215820655457,44.170414120603056,-6.7436128298729825,viscosity,compact_v3_full
ridge,alpha_1.0,3,,364.9873856417753,209.9503328855356,-0.05152613005693185,viscosity,compact_v3_full
ridge,alpha_1.0,4,,67.58275457113423,40.06652158055481,-4.300341140426894,viscosity,compact_v3_full
ridge,alpha_1.0,5,,147.41024878982455,113.87211013867466,-14.957371041779309,viscosity,compact_v3_full
ridge,alpha_3.0,1,,95.47769454404805,83.22883636288653,-12.054289621353997,viscosity,compact_v3_full
ridge,alpha_3.0,2,,47.614773692948845,37.77528837852607,-4.091234046631229,viscosity,compact_v3_full
ridge,alpha_3.0,3,,377.03280591977875,216.65526947759267,-0.12207694586847273,viscosity,compact_v3_full
ridge,alpha_3.0,4,,69.22916037157529,42.13000511031423,-4.561733478724115,viscosity,compact_v3_full
ridge,alpha_3.0,5,,134.98174372618558,103.05126494588637,-12.379998150025074,viscosity,compact_v3_full
ridge,alpha_10.0,1,,77.93044056204822,68.07878245053986,-7.696883631527351,viscosity,compact_v3_full
ridge,alpha_10.0,2,,31.830841318508053,23.306047101614162,-1.2752852338374772,viscosity,compact_v3_full
ridge,alpha_10.0,3,,390.489501957102,223.25106850535278,-0.2036025092659135,viscosity,compact_v3_full
ridge,alpha_10.0,4,,76.15961382984244,50.290218740748095,-5.731029766412686,viscosity,compact_v3_full
ridge,alpha_10.0,5,,128.04771883911397,93.08148158721897,-11.040642917476882,viscosity,compact_v3_full
ridge,alpha_30.0,1,,52.06417477157983,42.892756007529165,-2.881748326316437,viscosity,compact_v3_full
ridge,alpha_30.0,2,,26.809357689270062,23.54960300703544,-0.6140330796549196,viscosity,compact_v3_full
ridge,alpha_30.0,3,,394.19839572118883,224.8468185974707,-0.22657487423440625,viscosity,compact_v3_full
ridge,alpha_30.0,4,,80.80278458381065,53.43591003460619,-6.576780388741727,viscosity,compact_v3_full
ridge,alpha_30.0,5,,128.95607637156246,85.0399385101873,-11.212079043224167,viscosity,compact_v3_full
ridge,alpha_100.0,1,,34.8735403251233,24.088766489442097,-0.7415721599950196,viscosity,compact_v3_full
ridge,alpha_100.0,2,,26.73740060951716,24.50087544122766,-0.6053804856345055,viscosity,compact_v3_full
ridge,alpha_100.0,3,,392.7534530669172,223.00468663609516,-0.217599281658571,viscosity,compact_v3_full
ridge,alpha_100.0,4,,73.1955124556753,46.753673241316214,-5.217287578812528,viscosity,compact_v3_full
ridge,alpha_100.0,5,,128.64174658311362,75.70635409798699,-11.152617837187236,viscosity,compact_v3_full
pls,ncomp_2,1,,29.998162467091355,25.71289107683818,-0.2886610496251274,viscosity,compact_v3_full
pls,ncomp_2,2,,24.696264172724717,19.174346492039756,-0.3696264592446994,viscosity,compact_v3_full
pls,ncomp_2,3,,384.79614123598964,215.42013395616314,-0.1687611731120644,viscosity,compact_v3_full
pls,ncomp_2,4,,66.71344113200163,43.06124208012119,-4.164862088594846,viscosity,compact_v3_full
pls,ncomp_2,5,,136.22379761799627,78.42819498578173,-12.627366985142817,viscosity,compact_v3_full
pls,ncomp_3,1,,46.52737357136595,37.52598287553698,-2.10003410367743,viscosity,compact_v3_full
pls,ncomp_3,2,,35.572230484255996,29.18082516561622,-1.841592568901052,viscosity,compact_v3_full
pls,ncomp_3,3,,391.15387889734706,223.2305346598772,-0.20770160030454088,viscosity,compact_v3_full
pls,ncomp_3,4,,90.33105831738298,56.775140926258416,-8.469046330215265,viscosity,compact_v3_full
pls,ncomp_3,5,,147.21876805785175,85.38366512103887,-14.915941838585288,viscosity,compact_v3_full
pls,ncomp_4,1,,71.53773391848792,59.35097026318034,-6.328578669290647,viscosity,compact_v3_full
pls,ncomp_4,2,,36.97362821632247,32.75126615884371,-2.0698966364863325,viscosity,compact_v3_full
pls,ncomp_4,3,,390.57545158602244,221.9335514869022,-0.20413241121455306,viscosity,compact_v3_full
pls,ncomp_4,4,,94.99687475269494,63.430740341839886,-9.472507508657756,viscosity,compact_v3_full
pls,ncomp_4,5,,140.76726630108212,80.56580294199371,-13.55155276606698,viscosity,compact_v3_full
pls,ncomp_5,1,,94.71921899384013,79.69272904673788,-11.847706684644791,viscosity,compact_v3_full
pls,ncomp_5,2,,40.26187529834971,34.41197601477132,-2.6402198368277934,viscosity,compact_v3_full
pls,ncomp_5,3,,393.6634058826786,227.82201900775397,-0.22324781956481665,viscosity,compact_v3_full
pls,ncomp_5,4,,113.33801147947024,80.49667321659226,-13.906758714274217,viscosity,compact_v3_full
pls,ncomp_5,5,,130.06490370716412,98.43773181915888,-11.422992772779198,viscosity,compact_v3_full
pls,ncomp_6,1,,114.77804696247424,102.83141652424172,-17.86544515531624,viscosity,compact_v3_full
pls,ncomp_6,2,,39.31962921566739,34.088783969463805,-2.4718299135241715,viscosity,compact_v3_full
pls,ncomp_6,3,,402.09734608793264,231.70702893611917,-0.2762236035019352,viscosity,compact_v3_full
pls,ncomp_6,4,,109.65365015757577,80.05585110316827,-12.95334173323736,viscosity,compact_v3_full
pls,ncomp_6,5,,134.3192974849755,108.51989342748023,-12.248991102905483,viscosity,compact_v3_full
pls,ncomp_7,1,,132.59910409068368,118.30894440704506,-24.178541863627462,viscosity,compact_v3_full
pls,ncomp_7,2,,37.918257232838364,31.087443110075586,-2.2287643552380065,viscosity,compact_v3_full
