model_name,feature_set,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
oxidation_direct_addon_ridge__ao_core_narrow,ao_core_narrow,29.32205615929571,4.308131818272241,22.52867727718379,5.816155943582341,-0.4189976978786592,1.4624944674261755
oxidation_direct_addon_ridge__zddp_narrow,zddp_narrow,29.614949512652665,6.285715528219824,22.36463070592302,6.651346488670513,-0.6008682063540562,1.8683765013352003
oxidation_backbone_ridge,compact_v3_full,29.64602263797668,6.836332892131027,22.964421748547274,6.999239035144909,-0.6412827526285356,2.0220342758276653
oxidation_direct_addon_ridge__ao_family_narrow,ao_family_narrow,30.149068907399357,4.944837186492793,22.59319965812713,6.298375848962732,-0.515145461557917,1.551616170397446
oxidation_residual_ridge__zddp_narrow,zddp_narrow,30.59108222965649,9.232880916894857,22.886169969372755,9.272591286207469,-0.6561267498715111,1.90389651491631
oxidation_direct_addon_ridge__oxidation_v4_narrow,oxidation_v4_narrow,30.599461952127115,4.259918225402472,22.844102738089795,5.594681569861194,-0.5715900127661496,1.5968293283273511
oxidation_residual_ridge__ao_mo_narrow,ao_mo_narrow,30.87401251948652,8.433530546930596,25.342355782326933,7.818756120838761,-0.7599845641775664,2.099127249922069
oxidation_direct_addon_ridge__ao_mo_narrow,ao_mo_narrow,31.03912678420854,6.799153651310388,23.428359294119698,6.439468980685987,-0.7584981195824976,2.125509253323149
oxidation_residual_ridge__ao_core_narrow,ao_core_narrow,32.16762708170039,7.632264824360595,24.986690955137522,8.025876246847815,-0.5992007892732389,1.432578251857419
oxidation_residual_ridge__ao_family_narrow,ao_family_narrow,33.06818925488615,7.833558090609851,26.666596851040772,7.0816009316374675,-0.6936201597499828,1.5052416359645682
oxidation_residual_ridge__oxidation_v4_narrow,oxidation_v4_narrow,33.39842270594365,8.916996886334632,25.347829865516108,9.009464904248496,-0.5593018553735045,1.0708794531169104
