expert_label,n_train,n_valid,fold,target_name,scheme_name,expert_style
recipe_expert_0,41,0,1,viscosity,recipe_cluster_moe,residual
recipe_expert_1,28,0,1,viscosity,recipe_cluster_moe,residual
recipe_expert_2,18,29,1,viscosity,recipe_cluster_moe,residual
recipe_expert_3,47,4,1,viscosity,recipe_cluster_moe,residual
recipe_expert_0,41,0,1,oxidation,recipe_cluster_moe,residual
recipe_expert_1,28,0,1,oxidation,recipe_cluster_moe,residual
recipe_expert_2,18,29,1,oxidation,recipe_cluster_moe,residual
recipe_expert_3,47,4,1,oxidation,recipe_cluster_moe,residual
recipe_expert_0,41,0,1,viscosity,recipe_cluster_moe,direct
recipe_expert_1,28,0,1,viscosity,recipe_cluster_moe,direct
recipe_expert_2,18,29,1,viscosity,recipe_cluster_moe,direct
recipe_expert_3,47,4,1,viscosity,recipe_cluster_moe,direct
recipe_expert_0,41,0,1,oxidation,recipe_cluster_moe,direct
recipe_expert_1,28,0,1,oxidation,recipe_cluster_moe,direct
recipe_expert_2,18,29,1,oxidation,recipe_cluster_moe,direct
recipe_expert_3,47,4,1,oxidation,recipe_cluster_moe,direct
other,26,31,1,viscosity,dominant_base_oil_moe,residual
Базовое_масло_1,38,0,1,viscosity,dominant_base_oil_moe,residual
Базовое_масло_14,42,0,1,viscosity,dominant_base_oil_moe,residual
Базовое_масло_16,19,2,1,viscosity,dominant_base_oil_moe,residual
Базовое_масло_5,9,0,1,viscosity,dominant_base_oil_moe,residual
other,26,31,1,oxidation,dominant_base_oil_moe,residual
Базовое_масло_1,38,0,1,oxidation,dominant_base_oil_moe,residual
Базовое_масло_14,42,0,1,oxidation,dominant_base_oil_moe,residual
Базовое_масло_16,19,2,1,oxidation,dominant_base_oil_moe,residual
Базовое_масло_5,9,0,1,oxidation,dominant_base_oil_moe,residual
other,26,31,1,viscosity,dominant_base_oil_moe,direct
Базовое_масло_1,38,0,1,viscosity,dominant_base_oil_moe,direct
Базовое_масло_14,42,0,1,viscosity,dominant_base_oil_moe,direct
Базовое_масло_16,19,2,1,viscosity,dominant_base_oil_moe,direct
Базовое_масло_5,9,0,1,viscosity,dominant_base_oil_moe,direct
other,26,31,1,oxidation,dominant_base_oil_moe,direct
Базовое_масло_1,38,0,1,oxidation,dominant_base_oil_moe,direct
Базовое_масло_14,42,0,1,oxidation,dominant_base_oil_moe,direct
Базовое_масло_16,19,2,1,oxidation,dominant_base_oil_moe,direct
Базовое_масло_5,9,0,1,oxidation,dominant_base_oil_moe,direct
ao_heavy,6,2,1,viscosity,package_type_moe,residual
ao_mo,88,2,1,viscosity,package_type_moe,residual
detergent_heavy,30,12,1,viscosity,package_type_moe,residual
mixed,4,4,1,viscosity,package_type_moe,residual
zddp_heavy,6,13,1,viscosity,package_type_moe,residual
ao_heavy,6,2,1,oxidation,package_type_moe,residual
ao_mo,88,2,1,oxidation,package_type_moe,residual
detergent_heavy,30,12,1,oxidation,package_type_moe,residual
mixed,4,4,1,oxidation,package_type_moe,residual
zddp_heavy,6,13,1,oxidation,package_type_moe,residual
ao_heavy,6,2,1,viscosity,package_type_moe,direct
ao_mo,88,2,1,viscosity,package_type_moe,direct
detergent_heavy,30,12,1,viscosity,package_type_moe,direct
mixed,4,4,1,viscosity,package_type_moe,direct
zddp_heavy,6,13,1,viscosity,package_type_moe,direct
ao_heavy,6,2,1,oxidation,package_type_moe,direct
ao_mo,88,2,1,oxidation,package_type_moe,direct
detergent_heavy,30,12,1,oxidation,package_type_moe,direct
mixed,4,4,1,oxidation,package_type_moe,direct
zddp_heavy,6,13,1,oxidation,package_type_moe,direct
recipe_expert_0,29,0,2,viscosity,recipe_cluster_moe,residual
recipe_expert_1,17,4,2,viscosity,recipe_cluster_moe,residual
recipe_expert_2,43,24,2,viscosity,recipe_cluster_moe,residual
recipe_expert_3,48,2,2,viscosity,recipe_cluster_moe,residual
recipe_expert_0,29,0,2,oxidation,recipe_cluster_moe,residual
recipe_expert_1,17,4,2,oxidation,recipe_cluster_moe,residual
recipe_expert_2,43,24,2,oxidation,recipe_cluster_moe,residual
recipe_expert_3,48,2,2,oxidation,recipe_cluster_moe,residual
recipe_expert_0,29,0,2,viscosity,recipe_cluster_moe,direct
recipe_expert_1,17,4,2,viscosity,recipe_cluster_moe,direct
recipe_expert_2,43,24,2,viscosity,recipe_cluster_moe,direct
recipe_expert_3,48,2,2,viscosity,recipe_cluster_moe,direct
recipe_expert_0,29,0,2,oxidation,recipe_cluster_moe,direct
recipe_expert_1,17,4,2,oxidation,recipe_cluster_moe,direct
recipe_expert_2,43,24,2,oxidation,recipe_cluster_moe,direct
recipe_expert_3,48,2,2,oxidation,recipe_cluster_moe,direct
other,31,6,2,viscosity,dominant_base_oil_moe,residual
Базовое_масло_1,18,20,2,viscosity,dominant_base_oil_moe,residual
Базовое_масло_14,42,0,2,viscosity,dominant_base_oil_moe,residual
Базовое_масло_16,18,3,2,viscosity,dominant_base_oil_moe,residual
Базовое_масло_2,28,1,2,viscosity,dominant_base_oil_moe,residual
other,31,6,2,oxidation,dominant_base_oil_moe,residual
Базовое_масло_1,18,20,2,oxidation,dominant_base_oil_moe,residual
Базовое_масло_14,42,0,2,oxidation,dominant_base_oil_moe,residual
Базовое_масло_16,18,3,2,oxidation,dominant_base_oil_moe,residual
Базовое_масло_2,28,1,2,oxidation,dominant_base_oil_moe,residual
other,31,6,2,viscosity,dominant_base_oil_moe,direct
Базовое_масло_1,18,20,2,viscosity,dominant_base_oil_moe,direct
Базовое_масло_14,42,0,2,viscosity,dominant_base_oil_moe,direct
Базовое_масло_16,18,3,2,viscosity,dominant_base_oil_moe,direct
Базовое_масло_2,28,1,2,viscosity,dominant_base_oil_moe,direct
other,31,6,2,oxidation,dominant_base_oil_moe,direct
Базовое_масло_1,18,20,2,oxidation,dominant_base_oil_moe,direct
Базовое_масло_14,42,0,2,oxidation,dominant_base_oil_moe,direct
Базовое_масло_16,18,3,2,oxidation,dominant_base_oil_moe,direct
Базовое_масло_2,28,1,2,oxidation,dominant_base_oil_moe,direct
ao_heavy,3,5,2,viscosity,package_type_moe,residual
ao_mo,71,19,2,viscosity,package_type_moe,residual
detergent_heavy,39,3,2,viscosity,package_type_moe,residual
mixed,8,0,2,viscosity,package_type_moe,residual
zddp_heavy,16,3,2,viscosity,package_type_moe,residual
ao_heavy,3,5,2,oxidation,package_type_moe,residual
ao_mo,71,19,2,oxidation,package_type_moe,residual
detergent_heavy,39,3,2,oxidation,package_type_moe,residual
mixed,8,0,2,oxidation,package_type_moe,residual
zddp_heavy,16,3,2,oxidation,package_type_moe,residual
ao_heavy,3,5,2,viscosity,package_type_moe,direct
ao_mo,71,19,2,viscosity,package_type_moe,direct
detergent_heavy,39,3,2,viscosity,package_type_moe,direct
mixed,8,0,2,viscosity,package_type_moe,direct
zddp_heavy,16,3,2,viscosity,package_type_moe,direct
ao_heavy,3,5,2,oxidation,package_type_moe,direct
ao_mo,71,19,2,oxidation,package_type_moe,direct
detergent_heavy,39,3,2,oxidation,package_type_moe,direct
mixed,8,0,2,oxidation,package_type_moe,direct
zddp_heavy,16,3,2,oxidation,package_type_moe,direct
recipe_expert_0,32,6,3,viscosity,recipe_cluster_moe,residual
recipe_expert_1,31,0,3,viscosity,recipe_cluster_moe,residual
recipe_expert_2,50,31,3,viscosity,recipe_cluster_moe,residual
recipe_expert_3,17,0,3,viscosity,recipe_cluster_moe,residual
recipe_expert_0,32,6,3,oxidation,recipe_cluster_moe,residual
recipe_expert_1,31,0,3,oxidation,recipe_cluster_moe,residual
recipe_expert_2,50,31,3,oxidation,recipe_cluster_moe,residual
recipe_expert_3,17,0,3,oxidation,recipe_cluster_moe,residual
recipe_expert_0,32,6,3,viscosity,recipe_cluster_moe,direct
recipe_expert_1,31,0,3,viscosity,recipe_cluster_moe,direct
recipe_expert_2,50,31,3,viscosity,recipe_cluster_moe,direct
recipe_expert_3,17,0,3,viscosity,recipe_cluster_moe,direct
recipe_expert_0,32,6,3,oxidation,recipe_cluster_moe,direct
recipe_expert_1,31,0,3,oxidation,recipe_cluster_moe,direct
recipe_expert_2,50,31,3,oxidation,recipe_cluster_moe,direct
recipe_expert_3,17,0,3,oxidation,recipe_cluster_moe,direct
other,22,15,3,viscosity,dominant_base_oil_moe,residual
Базовое_масло_1,38,0,3,viscosity,dominant_base_oil_moe,residual
Базовое_масло_14,20,22,3,viscosity,dominant_base_oil_moe,residual
Базовое_масло_16,21,0,3,viscosity,dominant_base_oil_moe,residual
Базовое_масло_2,29,0,3,viscosity,dominant_base_oil_moe,residual
other,22,15,3,oxidation,dominant_base_oil_moe,residual
Базовое_масло_1,38,0,3,oxidation,dominant_base_oil_moe,residual
Базовое_масло_14,20,22,3,oxidation,dominant_base_oil_moe,residual
Базовое_масло_16,21,0,3,oxidation,dominant_base_oil_moe,residual
Базовое_масло_2,29,0,3,oxidation,dominant_base_oil_moe,residual
