fold,target_name,model_name,scheme_name,gating,rmse,mae,r2
1.0,viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,228.57179661047311,108.16560532312353,-73.81603357470158
1.0,viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,123.32855424839804,73.16109215305606,-20.780942924272114
1.0,oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,264.225865341802,97.95884895058828,-101.1179258213942
1.0,oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,134.46380613648523,57.05353530116383,-25.446129955129933
1.0,viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,47.51895777879215,34.37908631730075,-2.233577020052393
1.0,oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,31.236369547171076,23.080323227680392,-0.42715923318141646
1.0,viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,161.30033682927908,123.31960406268112,-36.25803486426114
1.0,viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,108.25499801284779,84.79401604744471,-15.782061525498683
1.0,oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,32.86799522314125,26.82165486892493,-0.5801479701213763
1.0,oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,28.87149170119896,23.09015702664806,-0.21924160356889089
1.0,viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,51.08463759392649,37.2129182859198,-2.737059647130883
1.0,oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,24.318174858103273,18.636041747535238,0.13500562951530226
1.0,viscosity,package_type_moe__hard,package_type_moe,hard,126.41343540434866,83.50938570021806,-21.884206807366144
1.0,viscosity,package_type_moe__soft,package_type_moe,soft,105.41510026157749,69.74996177435115,-14.913109400181803
1.0,oxidation,package_type_moe__hard,package_type_moe,hard,41.37726902058478,30.08464289102388,-1.5042343780150067
1.0,oxidation,package_type_moe__soft,package_type_moe,soft,34.24260131961957,25.12086670445242,-0.7150817518100336
1.0,viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,53.2589924041758,37.72784416901564,-3.0619566843439303
1.0,oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,26.558219776321504,19.54266664483333,-0.03169006454207324
1.0,viscosity,global_backbone,global,none,50.88482601468008,36.709661325590695,-2.707882677502344
1.0,oxidation,global_backbone,global,none,25.05068341791512,18.797437842379644,0.08211032582134492
2.0,viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,103.39119733356678,59.29662806314482,-23.005278159536182
2.0,viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,74.16308848076734,43.42199356619095,-11.351372741626854
2.0,oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,40.11235121445332,33.88840166202742,0.06851245018051266
2.0,oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,31.290411053055433,25.401969640523873,0.4331823660610338
2.0,viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,25.39138651663092,20.93102630552129,-0.4478129144825833
2.0,oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,24.689633141870765,17.75595149545079,0.6471012745160939
2.0,viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,367.4391645462258,146.45517656641826,-302.1869492657127
2.0,viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,188.88322572707213,82.74065883821196,-79.11731664606663
2.0,oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,249.90108192454764,73.71749613920232,-35.15406120017389
2.0,oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,128.10950249552747,44.901544831839836,-8.501310378569345
2.0,viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,117.20738779560804,46.27131270021659,-29.849603533191527
2.0,oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,93.73895823876914,39.0562439016687,-4.086992080596894
2.0,viscosity,package_type_moe__hard,package_type_moe,hard,111.34484022055194,78.94162943947212,-26.840677910608104
2.0,viscosity,package_type_moe__soft,package_type_moe,soft,90.055414045386,64.20013806579968,-17.21206819307154
2.0,oxidation,package_type_moe__hard,package_type_moe,hard,26.96653426914074,21.340639116861816,0.5790106732615907
2.0,oxidation,package_type_moe__soft,package_type_moe,soft,24.940394260413996,19.266516239986125,0.6398964147955057
2.0,viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,36.36149410762541,27.771087843124626,-1.9690878902591131
2.0,oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,24.103954347317586,17.41233333308407,0.663645371462835
2.0,viscosity,global_backbone,global,none,20.671148529753516,17.7739621149396,0.04044730773209526
2.0,oxidation,global_backbone,global,none,25.08830241652067,18.345348146713025,0.6356125857801468
3.0,viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,424.25478972895667,250.55421725412467,-0.42075066288545737
3.0,viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,417.57691491026117,241.62284613054794,-0.3763767311712882
3.0,oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,43.90072822536286,37.22684580928591,-0.3274441379416806
3.0,oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,40.754764505396636,35.03744456452462,-0.144009369013139
3.0,viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,411.08522778505727,237.00513298744914,-0.3339148297160466
3.0,oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,37.533203917155056,33.238120366286395,0.029704355561753104
3.0,viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,369.8770978685259,206.0510666519479,-0.07988930983630582
3.0,viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,382.8567819787305,218.24548233000365,-0.1570098292444464
3.0,oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,62.3330661536215,51.48578446402911,-1.6761458931769244
3.0,oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,45.70691085354124,38.1917498865651,-0.4389196564641282
3.0,viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,398.9132008271721,230.46725403444302,-0.256091207437283
3.0,oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,33.68060710327117,30.306667167402306,0.21867336828973716
3.0,viscosity,package_type_moe__hard,package_type_moe,hard,362.3405150093126,209.5264800906626,-0.03633019873141463
3.0,viscosity,package_type_moe__soft,package_type_moe,soft,370.53789796617605,214.64638343770758,-0.08375128666470122
3.0,oxidation,package_type_moe__hard,package_type_moe,hard,54.70931698820321,43.264567534355365,-1.0615572085467497
3.0,oxidation,package_type_moe__soft,package_type_moe,soft,48.96067434366967,39.52148725291524,-0.6510779854395248
3.0,viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,394.5759748810092,228.3724109255134,-0.22892572556912594
3.0,oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,37.877928519851075,33.26838852558643,0.011799099033518168
3.0,viscosity,global_backbone,global,none,399.81897117947904,232.6969002272771,-0.2618018323822553
3.0,oxidation,global_backbone,global,none,36.54398647565079,32.64871281601745,0.08017618796818526
4.0,viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,75.36551073502991,47.58913116981981,-5.591394993568647
4.0,viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,68.96448606230864,40.49351684505001,-4.519287953750332
4.0,oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,24.981880152028584,19.101975875428888,0.3415110386878679
4.0,oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,23.714262646123775,16.9343113984947,0.40664103422162123
4.0,viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,59.08038158071421,26.90490489035855,-3.0505931861001097
4.0,oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,24.840205556765632,19.558445484374687,0.3489585666596364
4.0,viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,100.5543206939304,64.801771211789,-10.733660477836722
4.0,viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,85.83113590130272,48.90540968579184,-7.549126921621125
4.0,oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,42.51624281882203,32.28635130467395,-0.9072517206238428
4.0,oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,33.10827495538436,25.576693300531804,-0.15656851222296608
4.0,viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,58.18140965206964,32.27761764326522,-2.928262700647317
4.0,oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,23.015702972335614,19.260569820624223,0.44108373752836094
4.0,viscosity,package_type_moe__hard,package_type_moe,hard,143.9024869465029,70.92172103704546,-23.030822946788767
4.0,viscosity,package_type_moe__soft,package_type_moe,soft,96.97028671534495,51.48165816654178,-9.912126802505965
4.0,oxidation,package_type_moe__hard,package_type_moe,hard,68.51390223804889,42.810198097344156,-3.9528555868190036
4.0,oxidation,package_type_moe__soft,package_type_moe,soft,46.80627679403417,30.864749503599135,-1.311566814491413
4.0,viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,71.41297206360615,33.405644394040465,-4.918153977848344
4.0,oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,33.42354828660079,24.139218375720187,-0.17870021955651905
4.0,viscosity,global_backbone,global,none,73.09952364121091,29.870803300730515,-5.200991532026977
4.0,oxidation,global_backbone,global,none,26.904122276117366,21.22540835355557,0.23627692207953876
5.0,viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,156.07046483180656,95.99955032378647,-16.887408811381192
5.0,viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,142.7177378660694,86.18359019657869,-13.957599198272007
5.0,oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,25.278701332444328,22.968710757838295,-1.9193836235483164
5.0,oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,22.32635661562169,19.95211393287479,-1.2772848910268646
5.0,viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,90.9996434403701,52.364837062486956,-5.081145103932472
5.0,oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,27.041253023584492,21.006281215528663,-2.340683051114334
5.0,viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,365.91078808999526,232.00982338402306,-97.3232924487967
5.0,viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,263.97313383374615,161.56105420796283,-50.17118115642291
5.0,oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,55.47037939401146,45.22128367049365,-13.057365035911845
5.0,oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,44.424116789966355,34.82053421794615,-8.016111096211848
5.0,viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,136.29332034847152,79.45275024993815,-12.641280171202013
5.0,oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,30.141192642103228,22.721085976366414,-3.150520042858923
5.0,viscosity,package_type_moe__hard,package_type_moe,hard,285.75906888158926,197.6772697174014,-58.966131014117884
5.0,viscosity,package_type_moe__soft,package_type_moe,soft,243.4682011981952,164.573009960944,-42.53018162782773
5.0,oxidation,package_type_moe__hard,package_type_moe,hard,51.30749835349146,38.512130714076434,-11.026612821887742
5.0,oxidation,package_type_moe__soft,package_type_moe,soft,45.71805733855496,33.15563330474649,-8.548984446642608
5.0,viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,124.70077373899166,79.21043848008298,-10.419426180847326
5.0,oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,29.046092320074468,19.75374273373531,-2.854402610360019
5.0,viscosity,global_backbone,global,none,111.67409130180093,64.27999724310844,-8.158215099788526
5.0,oxidation,global_backbone,global,none,29.643020310077247,19.792025826041932,-3.014454621837526
,viscosity,global_backbone,global,none,198.89115028020763,80.7860492026907,-0.02530036464677532
,oxidation,global_backbone,global,none,29.222581254144924,22.475922177681667,0.3411887426302873
,viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,241.02352081302632,116.19691902047222,-0.5057020625182576
,viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,218.21957137291295,101.06502517416557,-0.23426265745413355
,viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,200.87345683674496,78.88884399704456,-0.045840124035114505
,oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,121.51220205412562,42.12049098770695,-10.391047013280104
,oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,65.80021990541469,30.990404493264794,-2.3402467633833424
,oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,29.74130111683365,23.247509530004542,0.31759250228601743
,viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,297.02156347560293,155.36931790453104,-1.2866313449856714
,viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,237.6336685835057,121.8551129287537,-0.4636462966662589
,viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,206.39790660044633,88.99900504092946,-0.10415684494384547
,oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,115.19122431197026,45.458992967095064,-9.236763035572494
,oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,64.7224086592966,33.17845194040595,-2.2317161184078085
,oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,47.265846915133196,25.824422700801946,-0.7235296136850309
,viscosity,package_type_moe__hard,package_type_moe,hard,234.14806148319943,130.60614844658485,-0.4210237158308934
,viscosity,package_type_moe__soft,package_type_moe,soft,218.40313624132529,115.87398068321157,-0.23634003808797255
,viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,198.50278328925694,85.49501243326569,-0.021300145943359494
,oxidation,package_type_moe__hard,package_type_moe,hard,51.06833953224547,35.69011039853303,-1.0119970337112694
,oxidation,package_type_moe__soft,package_type_moe,soft,41.636600224599725,30.016865263373546,-0.33744023129227285
,oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,30.91569815976009,23.17853478866151,0.2626359179476413
