property_alias,source_name
prop_001,% масс. (Mo)
prop_002,COC (°C)
prop_003,"Активный Азот / Кислород, % масс. (N или O)"
prop_004,Анилиновая точка
prop_005,Атомное отношение P:Zn
prop_006,Группа по API
prop_007,Деаэрация | ASTM D3427
prop_008,Деэм.вода | ASTM D1401
prop_009,Деэм.время | ASTM D1401
prop_010,Деэм.масло | ASTM D1401
prop_011,Деэм.эмульсия | ASTM D1401
prop_012,"Динамическая вязкость CCS -15°C, ASTM D5293"
prop_013,"Динамическая вязкость CCS -20°C, ASTM D5293"
prop_014,"Динамическая вязкость CCS -25°C, ASTM D5293"
prop_015,"Динамическая вязкость CCS -30°C, ASTM D5293"
prop_016,"Динамическая вязкость CCS -35°C, ASTM D5293"
prop_017,"Дипольный момент, Д"
prop_018,Длина углеродной цепи
prop_019,"Индекс вязкости, ГОСТ 25371"
prop_020,Индекс полидисперсности
prop_021,"Индекс стабильности, %"
prop_022,"Испаряемость по NOACK, ASTM D5800"
prop_023,Кинематическая вязкость
prop_024,"Кинематическая вязкость, при -30⁰С | ASTM D445"
prop_025,"Кинематическая вязкость, при 100°C, ASTM D445"
prop_026,"Кинематическая вязкость, при 40°C, ASTM D445"
prop_027,"Кислотное число, ГОСТ 11362"
prop_028,"Масса гидрофобного хвоста, г/моль"
prop_029,Массовая доля кальция | ASTM D6481
prop_030,"Массовая доля кальция, ASTM D6481"
prop_031,Массовая доля серы | ASTM D6481
prop_032,"Массовая доля серы, ASTM D6481"
prop_033,"Массовая доля сульфатной золы, ГОСТ 12417"
prop_034,Массовая доля фосфора | ASTM D6481
prop_035,"Массовая доля фосфора, ASTM D6481"
prop_036,Массовая доля цинка | ASTM D6481
prop_037,"Массовая доля цинка, ASTM D6481"
prop_038,Общее содержание азота | ASTM D3228
prop_039,Определение содержания воды методом Карла Фишера | ASTM D 6304
prop_040,Отношение S:Mo
prop_041,Отношение Мыло/Основание
prop_042,"Плотность при 15°С, ASTM D4052"
prop_043,"Плотность при 20°С, ASTM D4052"
prop_044,Последовательность 1 | ASTM D892
prop_045,Последовательность 2 | ASTM D892
prop_046,Последовательность 3 | ASTM D892
prop_047,"Потенциал ионизации,эВ"
prop_048,"Размер мицелл, нм"
prop_049,"Содержание MgCO3, CaCO3, % масс."
prop_050,Содержание Азота
prop_051,Содержание Бора
prop_052,"Содержание воды, % масс."
prop_053,Содержание масла
prop_054,"Содержание масла, % масс."
prop_055,"Содержание металла (Ca/Mg), % масс."
prop_056,"Содержание мыла, % масс."
prop_057,Содержание полимера
prop_058,"Содержание серы, % масс."
prop_059,"Содержание серы, мг/кг"
prop_060,Соотношение мономеров (EO:PO)
prop_061,Средневесовая масса
prop_062,Степень полисульфидности
prop_063,"Стерический фактор, Å3"
prop_064,"Температура застывания, ГОСТ 20287, метод Б"
prop_065,"Температура плавления, °C"
prop_066,Температура проведения теста | -
prop_067,"Химический потенциал, Дж/моль"
prop_068,Цвет | ASTM D1500
prop_069,Цвет Сейболт | -
prop_070,"Щелочное число, ASTM D2896"
prop_071,"Щелочное число, ГОСТ 11362"
prop_072,"Энергия ВЗМО, эВ"
prop_073,"Энергия НСМО, эВ"
prop_074,"Энергия диссоциации связи Х-Н, ккал/моль"
