scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",amine_share,phenol_share,ao_total_share,amine_phenol_interaction,amine_to_phenol_ratio,both_ao_present,ao_group,share__Базовое_масло_1,share__Базовое_масло_2,share__Базовое_масло_14,share__Базовое_масло_3,share__Базовое_масло_5,share__Базовое_масло_7,dominant_base_oil,dominant_base_oil_share
train_1,160,168,0,1,25.4,98.04,0.0,0.08759810141454015,0.08759810141454015,0.0,0.0,False,phenol_only,0.0,0.07064909559956567,0.0,0.0,0.0,0.12294552820794409,Базовое_масло_7,0.12294552820794409
train_10,160,168,0,1,-23.78,85.04,0.02467841337840289,0.02841645737947471,0.053094870757877596,0.0007012730819604442,0.8684244001445235,True,both,0.08919379078603776,0.14728492516422592,0.14026985149347007,0.01836734354222109,0.11711594760081151,0.0,Базовое_масло_2,0.14728492516422592
train_100,150,168,7,1,157.99,105.26,0.05638500336036279,0.0357475603347382,0.09213256369510099,0.002015626309598985,1.5772664082802628,True,both,0.08042468285921858,0.0,0.17645777981563018,0.0,0.0,0.0,Базовое_масло_14,0.17645777981563018
train_101,150,216,7,1,241.52,126.73,0.05638500336036279,0.0357475603347382,0.09213256369510099,0.002015626309598985,1.5772664082802628,True,both,0.08042468285921858,0.0,0.17645777981563018,0.0,0.0,0.0,Базовое_масло_14,0.17645777981563018
train_102,150,168,7,1,552.67,86.92,0.07117420398503646,0.0,0.07117420398503646,0.0,71174.20398503647,False,amine_only,0.07192125789649091,0.0,0.1578006283491045,0.0,0.0,0.0,Базовое_масло_14,0.1578006283491045
train_103,160,168,7,1,10.67,10.6,0.07117420398503646,0.0,0.07117420398503646,0.0,71174.20398503647,False,amine_only,0.07192125789649091,0.0,0.1578006283491045,0.0,0.0,0.0,Базовое_масло_14,0.1578006283491045
train_104,160,168,7,1,11.36,11.48,0.05216816114573985,0.0,0.05216816114573985,0.0,52168.161145739854,False,amine_only,0.05271572510368034,0.0,0.11566225047414373,0.0,0.0,0.0,Базовое_масло_14,0.11566225047414373
train_105,160,168,7,1,11.08,10.1,0.06773650936201453,0.0,0.06773650936201453,0.0,67736.50936201453,False,amine_only,0.06844748077347987,0.0,0.1501789010769702,0.0,0.0,0.0,Базовое_масло_14,0.1501789010769702
train_106,150,168,7,1,861.54,84.25,0.0739363409155005,0.0,0.0739363409155005,0.0,73936.3409155005,False,amine_only,0.07471238658355132,0.0,0.16392457380699998,0.0,0.0,0.0,Базовое_масло_14,0.16392457380699998
train_107,150,216,7,1,1763.34,95.47,0.0739363409155005,0.0,0.0739363409155005,0.0,73936.3409155005,False,amine_only,0.07471238658355132,0.0,0.16392457380699998,0.0,0.0,0.0,Базовое_масло_14,0.16392457380699998
