Компонент,Наименование партии,% масс. (Mo),Тип АО,nitrogen_proxy
Антиоксидант_12,02670.23,,Дифениламин,8.666
Антиоксидант_14,19776.19,,Дифениламин,3.5
Антиоксидант_2,01623.24,,Дифениламин,3.5
Антиоксидант_3,01029/23,,Дифениламин,4.43
Антиоксидант_3,01194.25 для SL,,Дифениламин,4.43
Антиоксидант_3,01198.23,,Дифениламин,4.43
Антиоксидант_3,03341.22,,Дифениламин,4.43
Антиоксидант_3,с ЦП 28.02.2024г,,Дифениламин,4.43
Антиоксидант_4,01050.22,,Дифениламин,4.43
Антиоксидант_7,п.EQ2023082507,,Дифениламин,4.43
Антиоксидант_9,03606.23(2023101002),,Дифениламин,4.43
Соединение_молибдена_1,COMP-2023-0003-M,7.5,,
Соединение_молибдена_2,01762.22,10.0,,
Соединение_молибдена_5,COMP-2023-0002-M,10.0,,
Соединение_молибдена_6,01027.23,10.0,,
