scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",moly_share,amine_ao_share,weighted_mo,weighted_amine_n,moly_amine_interaction,moly_n_interaction,moly_present,amine_present
train_1,160,168,0,1,25.4,98.04,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_10,160,168,0,1,-23.78,85.04,0.0,0.02467841337840289,0.0,0.10932537126632479,0.0,0.0,False,True
train_100,150,168,7,1,157.99,105.26,0.0,0.05638500336036279,0.0,0.24978556488640716,0.0,0.0,False,True
train_101,150,216,7,1,241.52,126.73,0.0,0.05638500336036279,0.0,0.24978556488640716,0.0,0.0,False,True
train_102,150,168,7,1,552.67,86.92,0.023031353796494278,0.07117420398503646,0.17273515347370708,0.3153017236537115,0.0016392382731632276,0.007261825550113098,True,True
train_103,160,168,7,1,10.67,10.6,0.023031353796494278,0.07117420398503646,0.17273515347370708,0.3153017236537115,0.0016392382731632276,0.007261825550113098,True,True
train_104,160,168,7,1,11.36,11.48,0.016881163525378697,0.05216816114573985,0.1266087264403402,0.18258856401008947,0.0008806592591195417,0.0030823074069183955,True,True
train_105,160,168,7,1,11.08,10.1,0.021918945695326476,0.06773650936201453,0.16439209271494856,0.23707778276705085,0.00148471287029697,0.005196495046039394,True,True
train_106,150,168,7,1,861.54,84.25,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_107,150,216,7,1,1763.34,95.47,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_108,160,168,7,1,11.68,11.28,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_109,150,168,7,1,178.68,92.78,0.02142561040607811,0.066211946506516,0.16069207804558583,0.231741812772806,0.0014186313700766963,0.004965209795268437,True,True
train_11,160,168,0,1,-15.32,6.53,0.0,0.38797228480477614,0.0,1.718717221685158,0.0,0.0,False,True
train_110,150,216,7,1,775.51,107.79,0.02142561040607811,0.066211946506516,0.16069207804558583,0.231741812772806,0.0014186313700766963,0.004965209795268437,True,True
train_111,160,168,7,1,12.98,8.58,0.02142561040607811,0.066211946506516,0.16069207804558583,0.231741812772806,0.0014186313700766963,0.004965209795268437,True,True
train_112,150,168,7,1,65.88,88.46,0.020471880081148593,0.06326461664944173,0.15353910060861445,0.22142615827304607,0.0012951456454272077,0.004533009758995227,True,True
train_113,150,216,7,1,176.84,103.13,0.020471880081148593,0.06326461664944173,0.15353910060861445,0.22142615827304607,0.0012951456454272077,0.004533009758995227,True,True
train_114,150,168,7,1,63.8,45.59,0.12906124837550065,0.10707825716869712,0.9679593628162548,0.3747739000904399,0.013819653544064952,0.048368787404227336,True,True
train_115,150,216,7,1,177.56,53.59,0.12906124837550065,0.10707825716869712,0.9679593628162548,0.3747739000904399,0.013819653544064952,0.048368787404227336,True,True
train_116,160,168,7,1,12.8,15.78,0.12906124837550065,0.10707825716869712,0.9679593628162548,0.3747739000904399,0.013819653544064952,0.048368787404227336,True,True
train_117,150,168,7,1,482.89,91.23,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_118,150,216,7,1,754.93,103.98,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_119,160,168,7,1,11.5,12.88,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_12,160,168,0,1,-31.67,83.37,0.0,0.38797228480477614,0.0,1.718717221685158,0.0,0.0,False,True
train_120,160,168,5,1,78.94,25.27,0.0,0.037676392167120515,0.0,0.16690641730034386,0.0,0.0,False,True
train_121,160,168,5,1,47.13,28.09,0.0,0.04222076582518258,0.0,0.18703799260555884,0.0,0.0,False,True
train_122,160,168,5,1,12.58,69.1,0.03152680546162423,0.08202063036550963,0.23645104096218172,0.36335139251920767,0.0025858484573732113,0.011455308666163325,True,True
train_123,160,168,5,1,5.77,65.59,0.029724503758646954,0.07733173405576561,0.22293377818985216,0.3425795818670416,0.002298647419603292,0.010183008068842581,True,True
train_124,160,168,5,1,9.99,79.18,0.03869323586243203,0.1006649278240738,0.2901992689682402,0.4459456302606469,0.0038950517953715838,0.017255079453496115,True,True
train_125,154,216,7,1,64.3,148.95,0.04205796625543971,0.09161490430804793,0.31543474691579787,0.4058540260846523,0.0038531365538832184,0.017069394933702655,True,True
train_126,160,168,5,1,37.1,85.72,0.04205796625543971,0.09161490430804793,0.31543474691579787,0.4058540260846523,0.0038531365538832184,0.017069394933702655,True,True
train_127,160,168,0,1,30.3,24.4,0.04205796625543971,0.09161490430804793,0.31543474691579787,0.4058540260846523,0.0038531365538832184,0.017069394933702655,True,True
train_128,160,168,0,1,-23.02,15.94,0.0,0.0003950044655589581,0.0,0.0017498697824261842,0.0,0.0,False,True
train_129,160,168,0,1,-23.13,15.81,0.034415925613073585,0.0003924203020971207,0.2581194420980519,0.0017384219382902445,1.3505507926034369e-05,5.9829400112332256e-05,True,True
train_13,160,168,0,1,-31.73,8.14,0.0,0.38797228480477614,0.0,1.718717221685158,0.0,0.0,False,True
train_130,150,216,0,1,15.22,43.24,0.0,0.036621505420189084,0.0,0.16223326901143764,0.0,0.0,False,True
train_131,160,168,0,1,0.2,41.28,0.0,0.023209039441906183,0.0,0.10281604472764438,0.0,0.0,False,True
train_132,160,168,0,1,14.15,17.37,0.06376363989650553,0.029938741908102636,0.4782272992237915,0.10478559667835922,0.0019090031579826754,0.006681511052939364,True,True
train_133,160,168,0,1,16.5,20.31,0.08267470962744272,0.07380992749824618,0.6200603222058204,0.32697797881723056,0.006102214323540103,0.027032809453282652,True,True
train_134,160,168,0,1,-18.6,16.57,0.05487457397396209,0.0987588313079907,0.41155930480471564,0.41354009210303394,0.005419348794192379,0.02269283637530703,True,True
train_135,160,168,0,1,16.21,17.9,0.060208896383482875,0.1083591144415649,0.45156672287612154,0.45374006124698085,0.006524182693618144,0.027319188332654645,True,True
train_136,160,168,0,1,15.76,16.22,0.05877819597602679,0.1057842552680017,0.44083646982020097,0.44295816472506927,0.006217807687320648,0.02603628181539128,True,True
train_137,160,168,0,1,-27.13,5.61,0.05865235664780197,0.08695403965907758,0.43989267485851474,0.38520639568971365,0.005100059346051335,0.02259326290300741,True,True
train_138,160,168,0,1,-26.8,16.45,0.0853437863419409,0.12652495835410016,0.6400783975645568,0.5605055655086637,0.010798119012695295,0.04783566722624015,True,True
