Компонент,Наименование партии,"Массовая доля цинка, ASTM D6481","Массовая доля фосфора, ASTM D6481","Массовая доля серы, ASTM D6481"
Противоизносная_присадка_1,01296.23,9.1,8.4,17.6
Противоизносная_присадка_1,02958.22,9.182,8.939,16.41
Противоизносная_присадка_10,02028.22,11.1,9.4,17.8
Противоизносная_присадка_11,0242.25,9.44,8.6,17.42
Противоизносная_присадка_18,01872.24,8.78,8.4,16.88
Противоизносная_присадка_18,02125.25 (№1),9.7,8.09,17.68
Противоизносная_присадка_2,01026.23,9.39,8.13,16.58
Противоизносная_присадка_2,0112.22,9.65,8.22,15.95
Противоизносная_присадка_2,02622.22,9.25,8.0,16.97
Противоизносная_присадка_20,02976.22,9.179,8.719,15.97
Противоизносная_присадка_21,01578.24,9.696,8.09,17.682
Противоизносная_присадка_25,COMP-2024-0018-M,9.12,8.62,16.16
Противоизносная_присадка_26,COMP-2024-0017-M,9.19,8.45,16.5
Противоизносная_присадка_28,0784.24,9.17,8.82,16.46
Противоизносная_присадка_29,03073.24,10.09,9.32,17.94
Противоизносная_присадка_5,02975.22,8.85,8.768,15.99
Противоизносная_присадка_7,02359.22,9.0,7.7,
Противоизносная_присадка_8,0186.22,9.095,8.049,15.0
