detergent,zdp_component,n_scenarios,mean_delta_visc,mean_oxidation,delta_visc_shift_vs_global,oxidation_shift_vs_global,comparable_condition_groups,avg_delta_visc_diff,avg_oxidation_diff,antagonism_score
Детергент_1,Противоизносная_присадка_5,25,330.49159999999995,65.2888,272.16806706586823,9.461255089820348,3,225.8425396825397,-4.3823280423280435,18.201925925925924
Детергент_5,Противоизносная_присадка_2,21,28.690952380952382,44.903333333333336,-29.63258055317936,-10.92421157684631,6,-132.1158726415094,-22.65572693920335,-35.86731420335429
Детергент_1,Противоизносная_присадка_1,19,-10.263684210526316,32.5521052631579,-68.58721714465806,-23.27543964702175,1,-8.169100877192982,-20.654248903508766,-21.471158991228062
Детергент_1,Противоизносная_присадка_2,16,11.633125,67.339375,-46.69040793413174,11.511830089820357,2,24.525203619909504,-4.17037707390649,-1.7178567119155397
Детергент_2,Противоизносная_присадка_1,16,-11.680625000000001,29.819375,-70.00415793413174,-26.008169910179646,1,-9.567493686868687,-23.202746212121223,-24.15949558080809
Детергент_3,Противоизносная_присадка_2,15,1.0066666666666664,51.410666666666664,-57.31686626746507,-4.416878243512983,4,-30.777569493006997,-6.944843094405593,-10.022600043706293
Детергент_1,Противоизносная_присадка_10,14,-9.367142857142856,56.35,-67.6906757912746,0.5224550898203546,1,-6.7438755304101825,7.464851485148529,6.79046393210751
Детергент_8,Противоизносная_присадка_2,13,31.842307692307692,41.37692307692308,-26.48122524182405,-14.45062183325657,6,-137.5920045045045,-22.91818918918919,-36.67738963963964
Детергент_1,Противоизносная_присадка_8,11,30.478181818181817,104.7,-27.845351115949924,48.872455089820356,1,37.51039335664335,60.71346153846154,64.46450087412587
Детергент_4,Противоизносная_присадка_8,11,30.819999999999997,103.44,-27.503532934131744,47.61245508982035,1,37.88836538461538,59.32019230769233,63.10902884615387
Детергент_1,Противоизносная_присадка_7,10,55.914,84.792,-2.4095329341317395,28.964455089820355,5,75.90810096923727,22.130915212810795,29.721725309734524
Детергент_4,Противоизносная_присадка_10,8,-8.125,48.43125,-66.44853293413175,-7.396294910179648,1,-5.030700934579438,-1.464544392523365,-1.9676144859813087
Детергент_3,Противоизносная_присадка_7,6,26.673333333333332,78.82333333333334,-31.65019960079841,22.99578842315369,3,-150.76741228070176,9.813611111111106,-5.26313011695907
Детергент_5,Противоизносная_присадка_7,6,26.673333333333332,78.82333333333334,-31.65019960079841,22.99578842315369,3,-150.76741228070176,9.813611111111106,-5.26313011695907
Детергент_1,Противоизносная_присадка_11,6,-2.635000000000001,41.545,-60.95853293413174,-14.282544910179645,1,0.8538073394495407,-8.702981651376135,-8.617600917431181
Детергент_7,Противоизносная_присадка_2,5,-8.26,74.404,-66.58353293413174,18.57645508982035,1,-5.034636363636364,25.728727272727276,25.22526363636364
Детергент_7,Противоизносная_присадка_7,5,86.886,63.251999999999995,28.562467065868255,7.4244550898203485,2,218.2597972972973,-9.506340090090077,12.319639639639654
Детергент_11,Противоизносная_присадка_7,5,17.816,76.83399999999999,-40.507532934131746,21.006455089820342,3,-149.9495734126984,16.69777777777777,1.7028204365079276
Детергент_9,Противоизносная_присадка_11,5,-8.128,46.190000000000005,-66.45153293413173,-9.637544910179642,1,-4.896636363636365,-3.7677272727272637,-4.2573909090909
Детергент_4,Противоизносная_присадка_2,4,46.23,59.8025,-12.093532934131744,3.974955089820355,4,-157.8723120300752,-9.314466564137621,-25.10169776714514
Детергент_2,Противоизносная_присадка_7,3,8.486666666666666,130.26333333333335,-49.836866267465076,74.4357884231537,1,-37.78000000000001,79.75333333333333,75.97533333333332
Детергент_7,Противоизносная_присадка_5,3,183.34333333333333,35.913333333333334,125.01980039920159,-19.914211576846313,3,98.56361206045415,-11.367580314422414,-1.5112191083769986
Детергент_6,Противоизносная_присадка_2,3,47.096666666666664,32.199999999999996,-11.226866267465077,-23.62754491017965,1,41.278333333333336,-37.265000000000015,-33.13716666666668
Детергент_10,Противоизносная_присадка_2,3,42.17,38.48666666666667,-16.15353293413174,-17.340878243512975,3,-220.6401648059543,-35.42823232323232,-57.49224880382775
Детергент_2,Противоизносная_присадка_2,2,17.53,105.61500000000001,-40.79353293413174,49.78745508982036,1,21.34548672566372,56.80907079646019,58.943619469026565
Детергент_6,Противоизносная_присадка_8,2,7.635,84.685,-50.68853293413174,28.857455089820355,1,11.275353982300885,35.50862831858407,36.63616371681416
Детергент_1,Противоизносная_присадка_20,2,-5.205,50.714999999999996,-63.52853293413174,-5.1125449101796505,1,-1.7919026548672576,0.9373893805309734,0.7581991150442476
Детергент_6,Противоизносная_присадка_1,2,-9.82,27.79,-68.14353293413174,-28.037544910179648,1,-6.488584070796461,-22.39336283185842,-23.042221238938065
Детергент_13,Противоизносная_присадка_8,1,45.82,106.86,-12.50353293413174,51.03245508982035,1,49.69640350877193,57.56666666666666,62.536307017543855
