detergent,zdp_component,condition_key,n_present,n_absent,delta_visc_diff,oxidation_diff
Детергент_1,Противоизносная_присадка_1,160|168|0|1,19,96,-8.169100877192982,-20.654248903508766
Детергент_1,Противоизносная_присадка_10,160|168|0|1,14,101,-6.7438755304101825,7.464851485148529
Детергент_1,Противоизносная_присадка_11,160|168|0|1,6,109,0.8538073394495407,-8.702981651376135
Детергент_1,Противоизносная_присадка_18,160|168|0|1,1,114,-14.784298245614035,-13.390350877192986
Детергент_1,Противоизносная_присадка_2,160|168|0|1,13,102,7.772073906485669,28.924245852187035
Детергент_1,Противоизносная_присадка_2,160|168|5|1,2,6,41.278333333333336,-37.265000000000015
Детергент_1,Противоизносная_присадка_20,160|168|0|1,2,113,-1.7919026548672576,0.9373893805309734
Детергент_1,Противоизносная_присадка_21,160|168|0|1,1,114,66.3209649122807,47.53947368421053
Детергент_1,Противоизносная_присадка_25,160|168|0|1,1,114,-16.236929824561404,-16.063596491228083
Детергент_1,Противоизносная_присадка_26,160|168|0|1,1,114,-15.813245614035088,-15.74078947368421
Детергент_1,Противоизносная_присадка_28,160|168|0|1,1,114,-18.315,-18.60570175438596
Детергент_1,Противоизносная_присадка_29,160|168|0|1,1,114,-20.514122807017543,35.55526315789474
Детергент_1,Противоизносная_присадка_5,150|168|7|1,9,3,258.04,12.534444444444432
Детергент_1,Противоизносная_присадка_5,150|216|7|1,9,3,436.0533333333333,14.890000000000015
Детергент_1,Противоизносная_присадка_5,160|168|7|1,7,1,-16.565714285714286,-40.57142857142858
Детергент_1,Противоизносная_присадка_7,154|216|7|1,1,1,454.91,-14.519999999999982
Детергент_1,Противоизносная_присадка_7,160|168|0|1,2,113,-17.947876106194688,-21.80818584070797
Детергент_1,Противоизносная_присадка_7,160|168|5|1,3,5,-36.20733333333334,26.65800000000001
Детергент_1,Противоизносная_присадка_7,160|168|5|2,3,3,-37.78000000000001,79.75333333333333
Детергент_1,Противоизносная_присадка_7,160|168|7|1,1,7,16.565714285714286,40.57142857142858
Детергент_1,Противоизносная_присадка_8,160|168|0|1,11,104,37.51039335664335,60.71346153846154
Детергент_10,Противоизносная_присадка_11,160|168|0|1,1,114,28.522280701754383,-31.750000000000007
Детергент_10,Противоизносная_присадка_2,150|168|7|1,1,11,-258.28727272727275,-32.83727272727272
