Наименование показателя,source_type,total,non_null,missing,missing_ratio,property_alias
% масс. (Mo),typical,6,6,0,0.0,prop_001
CAS,typical,5,0,5,1.0,
COC (°C),typical,6,3,3,0.5,prop_002
SMILES для наиболее вероятной (средней) молекулы сульфокислоты,typical,22,0,22,1.0,
"Активный Азот / Кислород, % масс. (N или O)",typical,12,12,0,0.0,prop_003
Анилиновая точка,typical,1,1,0,0.0,prop_004
Атомное отношение P:Zn,typical,17,17,0,0.0,prop_005
Группа по API,typical,17,17,0,0.0,prop_006
Деаэрация | ASTM D3427,measured,1,1,0,0.0,prop_007
Деэм.вода | ASTM D1401,measured,44,44,0,0.0,prop_008
Деэм.время | ASTM D1401,measured,44,44,0,0.0,prop_009
Деэм.масло | ASTM D1401,measured,44,44,0,0.0,prop_010
Деэм.эмульсия | ASTM D1401,measured,44,44,0,0.0,prop_011
"Динамическая вязкость CCS -15°C, ASTM D5293",measured,71,71,0,0.0,prop_012
"Динамическая вязкость CCS -20°C, ASTM D5293",measured,86,86,0,0.0,prop_013
"Динамическая вязкость CCS -25°C, ASTM D5293",measured,86,86,0,0.0,prop_014
"Динамическая вязкость CCS -30°C, ASTM D5293",measured,88,88,0,0.0,prop_015
"Динамическая вязкость CCS -35°C, ASTM D5293",measured,40,40,0,0.0,prop_016
"Дипольный момент, Д",typical,13,13,0,0.0,prop_017
Длина углеродной цепи,typical,6,6,0,0.0,prop_018
"Индекс вязкости, ГОСТ 25371",measured,77,77,0,0.0,prop_019
"Индекс вязкости, ГОСТ 25371",typical,11,11,0,0.0,prop_019
Индекс полидисперсности,typical,13,13,0,0.0,prop_020
"Индекс стабильности, %",typical,2,2,0,0.0,prop_021
"Испаряемость по NOACK, ASTM D5800",measured,52,52,0,0.0,prop_022
"Испаряемость по NOACK, ASTM D5800",typical,10,10,0,0.0,prop_022
Категория,typical,6,0,6,1.0,
Кинематическая вязкость,typical,13,13,0,0.0,prop_023
"Кинематическая вязкость, при -30⁰С | ASTM D445",measured,1,1,0,0.0,prop_024
"Кинематическая вязкость, при 100°C, ASTM D445",measured,209,209,0,0.0,prop_025
"Кинематическая вязкость, при 100°C, ASTM D445",typical,13,13,0,0.0,prop_025
"Кинематическая вязкость, при 40°C, ASTM D445",measured,103,103,0,0.0,prop_026
"Кинематическая вязкость, при 40°C, ASTM D445",typical,9,9,0,0.0,prop_026
"Кислотное число, ГОСТ 11362",measured,6,6,0,0.0,prop_027
Класс полиамина,typical,13,0,13,1.0,
Класс субстрата,typical,23,0,23,1.0,
"Масса гидрофобного хвоста, г/моль",typical,13,13,0,0.0,prop_028
Массовая доля кальция | ASTM D6481,measured,7,7,0,0.0,prop_029
"Массовая доля кальция, ASTM D6481",measured,98,98,0,0.0,prop_030
Массовая доля серы | ASTM D6481,measured,6,6,0,0.0,prop_031
"Массовая доля серы, ASTM D6481",measured,81,81,0,0.0,prop_032
"Массовая доля серы, ASTM D6481",typical,9,9,0,0.0,prop_032
"Массовая доля сульфатной золы, ГОСТ 12417",measured,1,1,0,0.0,prop_033
Массовая доля фосфора | ASTM D6481,measured,7,7,0,0.0,prop_034
