component,rank,feature,abs_weight,weight,loading
component_1,1,temperature_c,0.31880366419250733,0.31880366419250733,0.2859998470853874
component_1,2,severity_exp,0.3092454725084632,0.3092454725084632,0.2819001633908685
component_1,3,interaction__biofuel_x_zddp,0.30528215637887485,-0.30528215637887485,-0.28489108474139
component_1,4,time_h,0.27790458282061287,-0.27790458282061287,-0.2178731787490513
component_1,5,biofuel_pct,0.26367286380786176,-0.26367286380786176,-0.2854148133596979
component_1,6,temperature_x_biofuel,0.2565041924020616,-0.2565041924020616,-0.2813520036448526
component_1,7,severity_x_catalyst,0.23963535356512264,0.23963535356512264,0.20840195163749065
component_1,8,temperature_x_time,0.22469319005132848,-0.22469319005132848,-0.1634591906767887
component_1,9,antioxidant__ionization_ev__wm,0.2138047679049186,0.2138047679049186,0.2595951658803538
component_1,10,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.2096519534410883,-0.2096519534410883,-0.16928718665076053
component_1,11,antioxidant__bde_xh_kcal__wm,0.2064768882317859,-0.2064768882317859,-0.24974261078092277
component_1,12,antiwear__chain_length__wm,0.20082925949835256,-0.20082925949835256,-0.20748779162841877
component_1,13,severity_x_biofuel,0.15173021259119218,-0.15173021259119218,-0.20589885659344534
component_1,14,detergent__tbn_astm__wm,0.14717583828957903,-0.14717583828957903,-0.09527554399071962
component_1,15,regime_load,0.14264797775889948,0.14264797775889948,0.0714244325962501
component_2,1,catcount__base_oil__группа_по_api__1,0.3093506440261214,0.3093506440261214,0.2929363676386986
component_2,2,textnum__base_oil__происхождение__origin_is_mineral__wm,0.2996089020618914,0.2996089020618914,0.3431048032519157
component_2,3,base_oil_visc_ratio,0.28285313856086924,0.28285313856086924,0.34445573114384
component_2,4,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.26061597056403596,0.26061597056403596,0.27994772058814016
component_2,5,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.26061597056403596,-0.26061597056403596,-0.2799477205881401
component_2,6,antioxidant_balance,0.26061597056403596,0.26061597056403596,0.27994772058814027
component_2,7,regime_load,0.24293056156575443,-0.24293056156575443,-0.20188578244859093
component_2,8,base_oil__kv40__wm,0.23694552646197378,0.23694552646197378,0.3238011682839967
component_2,9,temperature_x_time,0.21820055893150397,0.21820055893150397,0.1251777157603806
component_2,10,time_h,0.2162256221540816,0.2162256221540816,0.13724736370143348
component_2,11,family_total_dose__antiwear,0.19660481128113355,0.19660481128113355,0.21666459545964387
component_2,12,detergent__tbn_astm__wm,0.18704449307616014,0.18704449307616014,0.15786747734757625
component_2,13,base_oil__kv100__wm,0.18566138035759583,0.18566138035759583,0.2832464842486633
component_2,14,severity_x_biofuel,0.17092321279603923,-0.17092321279603923,-0.12270644802131725
component_2,15,antioxidant__ionization_ev__wm,0.15921167331228148,0.15921167331228148,0.07323038197362296
