n_components,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
12,130.60984947928011,20.1099722524362,62.45587093297935,15.104414349473052,0.40633410102042034,0.6617539179895784,75.35991086585815,38.78014264122619,0.5340440095049994
11,130.7229994301177,20.437878592839304,63.79027009720272,15.29611196800597,0.4035473793573159,0.6482307526397543,75.5804390114785,39.54319103260434,0.5258890659985351
10,132.65317331735622,21.58368828311623,65.10510878408117,16.31758877291636,0.3814218027621524,0.6065803083957372,77.11843080023624,40.71134877849876,0.49400105557894475
9,133.41713705454106,22.330938709154907,65.97081074805979,16.84327807804171,0.37282997472177465,0.5701466920801341,77.874037881848,41.40704441305075,0.4714883334009544
8,134.22161926515167,22.217195873790985,66.48908275882998,16.70380506316961,0.3644460222478732,0.572248141580429,78.21940756947133,41.59644391099979,0.4683470819141512
7,135.86648401669072,22.13465385619855,69.16074447334601,16.708615509144614,0.35522435821790765,0.5754422511621985,79.00056893644464,42.93467999124532,0.4653333046900531
6,137.13626289160987,22.12709112233522,71.80781542832355,16.62755311660603,0.3437841530530083,0.5758691041573012,79.63167700697254,44.217684272464794,0.45982662860515483
5,139.00200211175925,23.811176053358707,72.83837143788648,18.61486787816598,0.3220124066825441,0.5174241877310854,81.40658908255898,45.72661965802624,0.41971829720681475
4,140.33162556754806,26.096804335665894,70.05219713907631,20.654193077767026,0.31353398851472597,0.4339880290381209,83.21421495160698,45.35319510842167,0.37376100877642343
3,139.0903845517767,28.251303910913293,70.02336442564525,22.563874453346166,0.328638994819259,0.36119634465289796,83.670844231345,46.29361943949571,0.34491766973607846
2,138.84284325310654,28.763170988397444,72.23686485551369,23.486448906207755,0.3414351700833529,0.33934915273095617,83.803007120752,47.861656880860714,0.3403921614071545
1,144.33671139321737,35.44259906741453,77.47795179413419,30.999583089117106,0.2883220983055506,0.008912176360931223,89.88965523031594,54.23876744162565,0.14861713733324092
