feature,vip
interaction__biofuel_x_zddp,1.5015723635808926
temperature_c,1.4999053890109513
severity_exp,1.45712913786114
time_h,1.3787992242783094
biofuel_pct,1.2478546080396282
severity_x_catalyst,1.219446263540927
temperature_x_biofuel,1.2187933525209798
temperature_x_time,1.1834984539692985
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,1.1106565792256107
antioxidant__ionization_ev__wm,1.0685556578917874
antioxidant__bde_xh_kcal__wm,1.0583987836616386
antiwear__chain_length__wm,1.0289697921121204
detergent__tbn_astm__wm,0.9846687714065818
regime_load,0.9369269694857111
family_total_dose__antiwear,0.8838319459795977
severity_x_biofuel,0.8795989715344039
antiwear__sulfur_pct__wm,0.8206721028041644
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.8159397502115326
antioxidant_balance,0.8159397502115325
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.8159397502115325
base_oil__pour_point_c__max,0.8130974707522711
catcount__base_oil__группа_по_api__1,0.8130528995716574
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.7999402819153089
textnum__base_oil__происхождение__origin_is_mineral__wm,0.7519096058989154
antiwear_severity,0.6912010088736169
base_oil__kv100__wm,0.681647348588785
base_oil__kv40__wm,0.66419608674166
base_oil_visc_ratio,0.6501487641633873
base_oil__ccs_m35__wm,0.5549094326795126
catalyst_category,0.521454141083334
