feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12
temperature_c,0.2859998470853874,-0.1164445486569851,-0.13341418363115592,0.08175186801370164,0.21361672751933666,0.20739563483229972,0.044613855778331754,-0.09412077881390964,-0.1293062590782245,-0.17726666299385696,0.0017457664523656369,0.1045752597162212
time_h,-0.2178731787490513,0.13724736370143348,0.25355423696373924,0.19290862963831734,-0.15561582275731475,0.19557773190427777,-0.16345674368468602,0.14563219762374227,-0.12500252213403482,0.1762866199950691,0.33589961055391665,0.49730643332598773
biofuel_pct,-0.2854148133596979,-0.0362744568755707,-0.16988313017300652,0.19967270451378968,-0.15087500101862875,0.05989620727426751,-0.21235607097648815,0.16131608158317373,0.08365157816355462,-0.0574918832327645,-0.24008246682940798,-0.0970692275663386
catalyst_category,-0.022651285594299832,-0.09421288878664873,-0.1908090057470172,0.4454908172439263,-0.2490921846783499,0.002350966499363435,-0.23940247503781717,0.16874154876637817,0.20637014425221525,0.5159705950467357,0.5493131657269267,-0.02196583638939027
severity_exp,0.2819001633908685,-0.10766737401253218,-0.10953139456527988,0.11633431264138593,0.2119859134741789,0.25721056061049546,0.02695311511595229,-0.08295983092984612,-0.15893253062998347,-0.16897916568092727,0.05307447422543029,0.18379695442460398
temperature_x_time,-0.1634591906767887,0.1251777157603806,0.26004979621988683,0.26332535251596706,-0.11393966012951844,0.30733800742374673,-0.1840820745801957,0.1442443366098862,-0.19746856364363885,0.15146468357631437,0.40404241189705603,0.6413820353857641
temperature_x_biofuel,-0.2813520036448526,-0.043917354418091324,-0.18280412864094422,0.21239053193289945,-0.14664216552390003,0.07488571469241617,-0.21916380950497255,0.16418593798791328,0.0791029927651259,-0.07096988206471777,-0.2449868748103029,-0.09637996811044601
interaction__biofuel_x_zddp,-0.28489108474139,0.01948072944760403,-0.13875547893735118,0.10468155941071106,0.25816688706494395,-0.009218854771483643,-0.1855499540052352,-0.1546684063875276,-0.0018688260669675596,-0.10445309103181577,-0.16605392326102936,-0.19549350010476324
base_oil__kv40__wm,0.13414924641698356,0.3238011682839967,-0.27917364209133744,-0.0568277669946,0.021205363773127723,-0.011366319623477535,0.07081032207717067,-0.3058510593533082,0.3456615253591664,0.13685633968188393,0.16621873380475063,0.2716390760372526
base_oil__kv100__wm,0.14164796730933898,0.2832464842486633,-0.2593790052793009,-0.08967190750191166,-0.0033076386953403143,-0.02138345509512246,0.10391472830900716,-0.41151830301813425,0.3742534730899156,0.10224603503958256,0.1854569010893831,0.3692354104034349
base_oil__ccs_m35__wm,0.06827737757503957,0.12394022453492706,-0.1403142130021203,0.4394030405335456,0.012533598753523258,0.20619352504429983,0.17549694643699829,-0.020859035195017663,0.1145362279789812,0.5770982417707787,0.08940126387046438,-0.49459996271985024
base_oil__pour_point_c__max,0.13793557911947343,0.09062545431802722,-0.07109785886705933,0.3347050503252991,-0.28545382288055166,-0.555046707293588,0.06155274369820166,0.18065367873023983,-0.03712719624821854,-0.5086643693905742,-0.42197312557143524,-0.1125190956741719
catcount__base_oil__группа_по_api__1,0.18560105444890224,0.2929363676386986,-0.09691902159752493,0.17235040056829126,0.05436933894745687,-0.04249293648245389,0.0773873962264238,-0.0409258540436209,0.1320079244872476,0.17352431864410514,-0.05829648631746118,-0.2620941969376719
textnum__base_oil__происхождение__origin_is_mineral__wm,0.1702507538005221,0.3431048032519157,-0.16122848970051604,0.047996946817192895,0.011903956254761594,0.13260719087662004,0.050212160339856565,-0.0785447666007286,0.032380047030267534,0.19186499929177525,-0.00462016155920368,-0.16363071720558617
family_total_dose__antiwear,-0.07328216743900455,0.21666459545964387,-0.28646306432891483,-0.17808740271401968,0.5402222545414531,-0.1419272098373383,0.019329180211106894,0.355200269607142,-0.21538514627610564,0.08745623731098229,-0.04270202131095942,0.16153900315806521
antiwear__sulfur_pct__wm,0.11211726779463542,-0.12758055150807496,0.15031694937530432,-0.19904223273551527,0.16736744556567104,0.26965501122505126,-0.6564043901106249,0.1906330023898909,0.5669132487424237,0.2998932155581279,-0.0699922086895503,0.2812437331285502
antiwear__chain_length__wm,-0.20748779162841877,-0.049503408017661905,-0.051549964213423574,0.17534824504569343,0.12218041855685126,-0.2327089671937133,0.5334524706594541,-0.17464283523330326,-0.04077748896668151,-0.44031207167924324,0.2440298387230588,0.3590209271367873
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.11376129409693304,-0.17557564484029609,0.3810695690339785,0.012137650336859743,0.2383947785903044,-0.017488747697570174,0.1456352534556212,0.16730970613232937,0.23827950785571414,0.3501282247982647,0.007361986903447243,-0.19981685674148375
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,-0.16928718665076053,0.17965145446427733,-0.14336326236592883,-0.1281628771557408,0.37683862904136484,0.38762141685301954,-0.4307484734704244,-0.02856351103947271,0.1644222408571315,-0.23784006452972026,0.16476291285883793,-0.37871334493243186
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.20042795522793916,0.27994772058814016,0.014730142259314538,0.004231681378469778,-0.12066952938326903,0.12016734704183864,-0.3036307852704327,0.3539746809621596,-0.3082849944044034,-0.24656215931158007,-0.11742061358470926,-0.11717743852756926
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,-0.20042795522793921,-0.2799477205881401,-0.014730142259314512,-0.004231681378469825,0.12066952938326911,-0.12016734704183862,0.3036307852704327,-0.3539746809621597,0.3082849944044034,0.24656215931158013,0.11742061358470927,0.11717743852756926
antioxidant__ionization_ev__wm,0.2595951658803538,0.07323038197362296,0.23442448645757838,0.13970377913817103,-0.08634405457296442,0.05465985731177711,-0.052908165612446885,-0.09340285948396505,0.09861930432839985,-0.24407595144271724,-0.11966476994184105,0.07286668009379833
antioxidant__bde_xh_kcal__wm,-0.24974261078092277,-0.038829139426320304,-0.28554061888000276,-0.1575861448516717,0.10652676233882526,0.042979632743499904,0.13178511025599884,0.02422693074874671,-0.14991047013077263,0.2701653924034429,0.0949476743945088,-0.05147393837362689
