scenario_id,target_viscosity_delta_pct,target_oxidation_acm,temperature_c,time_h,biofuel_pct,catalyst_category,severity_exp,temperature_x_time,temperature_x_biofuel,interaction__biofuel_x_zddp,base_oil__kv40__wm,base_oil__kv100__wm,base_oil__ccs_m35__wm,base_oil__pour_point_c__max,catcount__base_oil__группа_по_api__1,textnum__base_oil__происхождение__origin_is_mineral__wm,family_total_dose__antiwear,antiwear__sulfur_pct__wm,antiwear__chain_length__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,antioxidant__ionization_ev__wm,antioxidant__bde_xh_kcal__wm,detergent__tbn_astm__wm,severity_x_biofuel,severity_x_catalyst,regime_load,base_oil_visc_ratio,antiwear_severity,antioxidant_balance
train_1,25.4,98.04,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,38.46418020581275,5.4237720703592425,200.0,0.0,2.0,0.5203186906692903,99.235,15.000000000000002,20.0,0.0,0.0,1.0,0.0,7.2,362.92,353.2432267355249,0.0,456.6713471811196,456.6713471811196,7.091776665177061,45317.7811375184,1.0
train_10,-23.78,85.04,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,28.497928025109328,4.841361083132428,2800.0,-15.0,1.0,0.2875356592824605,11.027,17.94,,1.0,0.0,0.535201554761457,0.464798445238543,7.179999999999999,358.32738950536014,238.04655310536745,0.0,456.6713471811196,456.6713471811196,5.886346326118433,5035.714945366205,0.07040310952291401
train_100,157.99,105.26,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,2.065,18.54155331954317,3.4363374997249303,,-23.0,0.0,0.0,0.295,15.0,20.0,0.0,0.0,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,266.18194572294374,1176.0,168.0,285.59999999999997,5.395731158836224,49.559999999999995,-0.22399727303715494
train_101,241.52,126.73,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,2.065,18.54155331954317,3.4363374997249303,,-23.0,0.0,0.0,0.295,15.0,20.0,0.0,0.0,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,266.18194572294374,1512.0,216.0,367.2,5.395731158836224,63.72,-0.22399727303715494
train_102,552.67,86.92,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,25.217392831782337,4.252592058686912,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,7.179999999999999,361.94,120.98717349535234,1176.0,168.0,285.59999999999997,5.929887580039549,15779.568000000001,-1.0
train_103,10.67,10.6,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,25.217392831782337,4.252592058686912,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,7.179999999999999,361.94,120.98717349535234,3196.699430267837,456.6713471811196,776.3412902079033,5.929887580039549,42893.31295533384,-1.0
train_104,11.36,11.48,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,24.038669775671785,4.329261898692418,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,198.0752270072064,3196.699430267837,456.6713471811196,776.3412902079033,5.552602346125622,42893.31295533384,-1.0
train_105,11.08,10.1,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,24.18842160158982,4.319521316734555,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,3196.699430267837,456.6713471811196,776.3412902079033,5.59979215934872,42893.31295533384,-1.0
train_106,861.54,84.25,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1176.0,168.0,285.59999999999997,5.2017722073575765,15779.568000000001,-1.0
train_107,1763.34,95.47,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1512.0,216.0,367.2,5.2017722073575765,20288.016,-1.0
