config_id,fold,hidden_layers,activation,alpha,learning_rate_init,rmse,mae,r2
relu_small,1,"(64, 32)",relu,0.0001,0.001,258.65895960841937,89.61071521777615,0.324010816145455
relu_small,2,"(64, 32)",relu,0.0001,0.001,59.17025724241597,29.500390401603173,0.6636572612861018
relu_small,3,"(64, 32)",relu,0.0001,0.001,36.892825383112964,20.00528583991144,-0.08817524105150909
relu_small,4,"(64, 32)",relu,0.0001,0.001,131.34127742855472,53.50606749846947,0.6114965583316745
relu_small,5,"(64, 32)",relu,0.0001,0.001,122.8625797632977,56.79089682000834,0.5143484661165754
relu_mid,1,"(128, 64)",relu,0.0001,0.001,238.5180557759587,85.1395565430299,0.42518616091760586
relu_mid,2,"(128, 64)",relu,0.0001,0.001,60.13196330317481,25.730031697777775,0.6526351187838486
relu_mid,3,"(128, 64)",relu,0.0001,0.001,88.08598617217676,39.414677930229814,-5.203383769554321
relu_mid,4,"(128, 64)",relu,0.0001,0.001,127.74098192854393,58.320999546217735,0.6325037608369155
relu_mid,5,"(128, 64)",relu,0.0001,0.001,92.48698710395894,52.11445062850486,0.7248010525481674
relu_wide,1,"(128, 128)",relu,0.001,0.0005,236.0394742802782,84.06305302539964,0.43707054738959583
relu_wide,2,"(128, 128)",relu,0.001,0.0005,65.52994948346299,25.8894676481796,0.587470692519699
relu_wide,3,"(128, 128)",relu,0.001,0.0005,43.74135136188593,25.50442424441134,-0.5296758139666178
relu_wide,4,"(128, 128)",relu,0.001,0.0005,116.26524168876365,54.57316686896742,0.6955666714522493
relu_wide,5,"(128, 128)",relu,0.001,0.0005,130.2664429524766,61.124324167937644,0.45405283681285846
relu_deep,1,"(256, 128)",relu,0.001,0.0005,236.55016126420873,86.95735524461273,0.43463204224565344
relu_deep,2,"(256, 128)",relu,0.001,0.0005,92.29117846747644,42.923085692286655,0.18173208116242812
relu_deep,3,"(256, 128)",relu,0.001,0.0005,23.055271034302557,16.663535145046342,0.5750327408832776
relu_deep,4,"(256, 128)",relu,0.001,0.0005,148.0255514695044,57.6084023462419,0.5065242973967206
relu_deep,5,"(256, 128)",relu,0.001,0.0005,166.1702504671559,75.47902619441767,0.11163374430122419
tanh_mid,1,"(64, 64)",tanh,0.001,0.001,240.0182389970102,79.60218221301633,0.4179327232945712
tanh_mid,2,"(64, 64)",tanh,0.001,0.001,76.370480473892,33.31324873185402,0.4396928206336971
tanh_mid,3,"(64, 64)",tanh,0.001,0.001,20.894113313768237,13.424951381050704,0.65096988608574
tanh_mid,4,"(64, 64)",tanh,0.001,0.001,149.56096132700307,58.55233240036947,0.49623395163987005
tanh_mid,5,"(64, 64)",tanh,0.001,0.001,105.90242805102555,47.936212248615334,0.6391744024607539
tanh_wide,1,"(128, 64)",tanh,0.001,0.0005,240.79741376221114,82.150865559376,0.41414744189596786
tanh_wide,2,"(128, 64)",tanh,0.001,0.0005,69.78641458408342,28.894369055797686,0.5321389256885596
tanh_wide,3,"(128, 64)",tanh,0.001,0.0005,40.4418570185811,23.90977614929335,-0.3076068485164869
tanh_wide,4,"(128, 64)",tanh,0.001,0.0005,127.01151362992545,60.1431933622114,0.6366889709748257
tanh_wide,5,"(128, 64)",tanh,0.001,0.0005,88.17084621095182,53.284418723662725,0.7498874278413
