scenario_id,Компонент,Наименование партии,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль","Массовая доля кальция, ASTM D6481","Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481","Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ"
train_1,Антиоксидант_5,32,70.832,160,168,25.4,98.04,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_1,Антиоксидант_6,13799.21,70.832,160,168,25.4,98.04,0,1,,,,,4.102564103,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,125643-61-0,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,-31.0,,,Фенол,,,,,,,,,-5.73
train_1,Антипенная_присадка_3,б/н,3.991,160,168,25.4,98.04,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_1,Базовое_масло_10,0285.21,60.034,160,168,25.4,98.04,0,1,,,,,,,,3.0,,,,,,,,,2579.0,,,,113.0,,,14.7,,,,4.54,21.53,,,,,,,,,,,,,,,,,,,,,,,,гидрокрекинг,,,,,,,,,,,,,>95,,,0.2,,,,,-26.0,,,,,,,,,,,,,
train_1,Базовое_масло_17,без номера,84.281,160,168,25.4,98.04,0,1,,,,,,68.4,,5.0,,,,,,13.0,25.0,50.0,99.0,200.0,,,,,,90.0,,,,1.45,3.88,,,,,,,,,,,,64742-53-6,,,,,,,,,,,,Синтетика,,,,,,,,,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,
train_1,Базовое_масло_2,0204.22,57.127,160,168,25.4,98.04,0,1,,,,,,,,1.0,,38.0,30.0,42.0,0.0,1224.0,2308.0,4797.0,10565.0,,,,96.0,,,12.8,,,,5.4,33.0,,,,,0.00089,0.02478,,,0.00054,0.00014,,,,,,,,,,0.0,0.0,0.0,,минеральное,,,,,,,,,,,,,,,,<2000,,,,,0.0,,,,,,,,,,,,,
train_1,Базовое_масло_7,0186.21,99.414,160,168,25.4,98.04,0,1,,,,,,,,1.0,,39.0,40.0,41.0,0.0,6022.0,12857.0,25800.0,,,,,89.0,,,5.4,,,,9.34,81.15,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,,минеральное,,,,,,,,,,,,,,,,<3000,,,,,-15.0,,,,,,,,,,,,,
train_1,Депрессорная_присадка_2,121256,17.074,160,168,25.4,98.04,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_1,Детергент_1,0174.22,93.897,160,168,25.4,98.04,0,1,,,,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O,,,,,,,,,,,,,,,,,,,,,,,,163.5,,11.2,,Сульфонат кальция,,11.2,,,,,,,290-636-7,,,,,0.6571428571,,,,,,,,,10-14,35.0,,,,"<0,3",,,38.0,15.54,23.0,,,1.6,,,,,C21H43,,,,,,,,,,,,405.8,,
train_1,Детергент_4,,26.931,160,168,25.4,98.04,0,1,,,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O,,,,,,,,,,,,,,,,,,,,,,,,16.64,,,,Салицилат кальция,,6.34,0.496,,,0.0067,0.0031,,нет,,,,,3.0,,,,,,,,,2026-10-08 00:00:00,10.0,,,,0.09,,,60.0,6.34,30.0,,,,,,,,C17H35,,,,,,,,,,,,170.0,172.08,
train_1,Дисперсант_9,39202.20,34.255,160,168,25.4,98.04,0,1,,,,,,,,,,,,,,,,,,,,,,1.6,,,,400.0,,,,,TEPA,,2300.0,,,,,,,Неборированный,84605-20-9,,,,,,,,,,,,,,,,1.1,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,Моно,,,25.0,,
train_1,Загуститель_2,071.21,90.699,160,168,25.4,98.04,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCP,,,,,,,
train_1,Противоизносная_присадка_8,0186.22,99.235,160,168,25.4,98.04,0,1,,,,,,,1.0,,,,,,,,,,,,,20.0,,,,,,,,13.74,,,,,,0.001,15.0,,,8.049,9.095,,нет,,,,,,,,,,,,,"изобутил - 75%, 2-этилгексил - 25%",,,,,,,,,,,,,,,,,,,,,,,,,,,Первичный,,,,17.8,,
train_2,Антиоксидант_14,19776.19,95.918,160,168,20.5,112.37,0,1,,,,,3.5,,,,,,,,,,,,,,1.36,,,,,,,,,14.06,,,,,,,,,,,,,,36878-20-3,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,> 350 °C,Дифениламин,,,,,,,,,-5.15
train_2,Антиоксидант_15,13775.21,95.918,160,168,20.5,112.37,0,1,,,,,7.26,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,128-37-0,,,,,,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,70.0,,,Фенол,,,,,,,,,-6.09
train_2,Антипенная_присадка_3,б/н,3.991,160,168,20.5,112.37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Базовое_масло_10,0285.21,60.034,160,168,20.5,112.37,0,1,,,,,,,,3.0,,,,,,,,,2579.0,,,,113.0,,,14.7,,,,4.54,21.53,,,,,,,,,,,,,,,,,,,,,,,,гидрокрекинг,,,,,,,,,,,,,>95,,,0.2,,,,,-26.0,,,,,,,,,,,,,
train_2,Базовое_масло_17,без номера,84.281,160,168,20.5,112.37,0,1,,,,,,68.4,,5.0,,,,,,13.0,25.0,50.0,99.0,200.0,,,,,,90.0,,,,1.45,3.88,,,,,,,,,,,,64742-53-6,,,,,,,,,,,,Синтетика,,,,,,,,,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,
train_2,Базовое_масло_2,0204.22,30.818,160,168,20.5,112.37,0,1,,,,,,,,1.0,,38.0,30.0,42.0,0.0,1224.0,2308.0,4797.0,10565.0,,,,96.0,,,12.8,,,,5.4,33.0,,,,,0.00089,0.02478,,,0.00054,0.00014,,,,,,,,,,0.0,0.0,0.0,,минеральное,,,,,,,,,,,,,,,,<2000,,,,,0.0,,,,,,,,,,,,,
train_2,Базовое_масло_7,0186.21,99.414,160,168,20.5,112.37,0,1,,,,,,,,1.0,,39.0,40.0,41.0,0.0,6022.0,12857.0,25800.0,,,,,89.0,,,5.4,,,,9.34,81.15,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,,минеральное,,,,,,,,,,,,,,,,<3000,,,,,-15.0,,,,,,,,,,,,,
train_2,Депрессорная_присадка_2,121256,17.074,160,168,20.5,112.37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_2,Детергент_1,0174.22,93.897,160,168,20.5,112.37,0,1,,,,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O,,,,,,,,,,,,,,,,,,,,,,,,163.5,,11.2,,Сульфонат кальция,,11.2,,,,,,,290-636-7,,,,,0.6571428571,,,,,,,,,10-14,35.0,,,,"<0,3",,,38.0,15.54,23.0,,,1.6,,,,,C21H43,,,,,,,,,,,,405.8,,
train_2,Детергент_4,,26.931,160,168,20.5,112.37,0,1,,,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O,,,,,,,,,,,,,,,,,,,,,,,,16.64,,,,Салицилат кальция,,6.34,0.496,,,0.0067,0.0031,,нет,,,,,3.0,,,,,,,,,2026-10-08 00:00:00,10.0,,,,0.09,,,60.0,6.34,30.0,,,,,,,,C17H35,,,,,,,,,,,,170.0,172.08,
train_2,Дисперсант_9,39202.20,34.255,160,168,20.5,112.37,0,1,,,,,,,,,,,,,,,,,,,,,,1.6,,,,400.0,,,,,TEPA,,2300.0,,,,,,,Неборированный,84605-20-9,,,,,,,,,,,,,,,,1.1,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,Моно,,,25.0,,
train_2,Загуститель_2,071.21,90.699,160,168,20.5,112.37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCP,,,,,,,
train_2,Противоизносная_присадка_8,0186.22,99.235,160,168,20.5,112.37,0,1,,,,,,,1.0,,,,,,,,,,,,,20.0,,,,,,,,13.74,,,,,,0.001,15.0,,,8.049,9.095,,нет,,,,,,,,,,,,,"изобутил - 75%, 2-этилгексил - 25%",,,,,,,,,,,,,,,,,,,,,,,,,,,Первичный,,,,17.8,,
train_3,Антиоксидант_1,01028.23,17.074,160,168,-20.3,36.33,0,1,,,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,,6.8,,,,,,,,,,,,,,"125643-61-0,144429-84-5",,,,,,,,,,7.18,,,,,,,,,,,,,,,,,,,,,,,<5,,,Фенол,,,,,,,0.0,0.0,-5.58
train_3,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-20.3,36.33,0,1,,,,,4.43,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,68411-46-1,,,,,,,,,,7.18,,,,,,,,,,,,,,,,,,,,,,,-31.0,,> 350 °C,Дифениламин,,,,,,,,,-4.98
train_3,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-20.3,36.33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_3,Базовое_масло_1,0766.24,53.037,160,168,-20.3,36.33,0,1,,,,,,,,2.0,,,,,,535.0,842.0,1398.0,2472.0,,,,113.0,,,13.3,,,,4.56,22.94,,,,,0.0002,7e-05,,,2e-05,4e-05,,,,,,,,,,0.0,0.0,0.0,,гидрокрекинг,,,,,,,,,,,,,>95,,,<10,,,,,-26.0,,,,,,,,,,,,,
train_3,Базовое_масло_1,0766.24,14.811,160,168,-20.3,36.33,0,1,,,,,,,,2.0,,,,,,535.0,842.0,1398.0,2472.0,,,,113.0,,,13.3,,,,4.56,22.94,,,,,0.0002,7e-05,,,2e-05,4e-05,,,,,,,,,,0.0,0.0,0.0,,гидрокрекинг,,,,,,,,,,,,,>95,,,<10,,,,,-26.0,,,,,,,,,,,,,
