scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",synergy_ao_phenol_x_diphenylamine_active_no,synergy_ao_diphenylamine_active_no_x_mo,synergy_zn_x_boron_dispersant,synergy_aw_sulfur_x_ca_ca_mg,ao_k_avg_weighted_active_no,ao_k_avg_arithmetic,ao_ionization_min,ao_homo_max
train_1,160,168,0,1,25.4,98.04,0.0,0.0,0.0,591.32835,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_10,160,168,0,1,-23.78,85.04,18.174358976289998,0.0,0.0,772.7188560000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_100,150,168,7,1,157.99,105.26,18.174358976289998,0.0,3.9752680000000002,631.0035,7.711577421629541e-182,9.398259372202267e-183,7.18,-4.98
train_101,150,216,7,1,241.52,126.73,18.174358976289998,0.0,3.9752680000000002,631.0035,7.711577421629541e-182,9.398259372202267e-183,7.18,-4.98
train_102,150,168,7,1,552.67,86.92,0.0,33.224999999999994,0.0,579.862959,5.653485618705642e-186,5.653485618705642e-186,7.18,-4.98
train_103,160,168,7,1,10.67,10.6,0.0,33.224999999999994,0.0,579.862959,1.1782232734232438e-181,1.1782232734232438e-181,7.18,-4.98
train_104,160,168,7,1,11.36,11.48,0.0,26.25,0.0,724.348599,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_105,160,168,7,1,11.08,10.1,0.0,26.25,0.0,500.488599,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_106,150,168,7,1,861.54,84.25,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_107,150,216,7,1,1763.34,95.47,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_108,160,168,7,1,11.68,11.28,0.0,26.25,0.0,500.488599,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_109,150,168,7,1,178.68,92.78,0.0,26.25,3.8941319999999995,500.53497,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_11,160,168,0,1,-15.32,6.53,0.0,0.0,0.0,453.75,1.1782232734232438e-181,1.1782232734232438e-181,7.18,-4.98
train_110,150,216,7,1,775.51,107.79,0.0,26.25,3.8941319999999995,500.53497,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_111,160,168,7,1,12.98,8.58,0.0,26.25,3.8941319999999995,500.53497,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_112,150,168,7,1,65.88,88.46,0.0,26.25,3.8941319999999995,500.53497,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_113,150,216,7,1,176.84,103.13,0.0,26.25,3.8941319999999995,500.53497,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_114,150,168,7,1,63.8,45.59,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_115,150,216,7,1,177.56,53.59,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_116,160,168,7,1,12.8,15.78,0.0,26.25,0.0,500.488599,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_117,150,168,7,1,482.89,91.23,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_118,150,216,7,1,754.93,103.98,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_119,160,168,7,1,11.5,12.88,0.0,26.25,0.0,500.488599,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_12,160,168,0,1,-31.67,83.37,0.0,0.0,0.0,574.75,1.1782232734232438e-181,1.1782232734232438e-181,7.18,-4.98
