scenario_id,viscosity_true,viscosity_baseline_oof,viscosity_residual_oof,viscosity_final_oof
train_1,25.4,17.032022,-6.779497,10.252525
train_2,20.5,1.1372879,51.310104,52.44739
train_3,-20.3,-13.024468,6.736783,-6.2876854
train_4,-20.6,-11.464638,-8.648761,-20.1134
train_5,-18.9,-19.892221,-8.699009,-28.59123
train_6,-17.83,-18.575815,-7.6676583,-26.243473
train_7,-18.1,-5.3922215,4.333399,-1.0588226
train_8,-19.12,4.4448724,-8.121057,-3.6761842
train_9,-19.54,-6.005315,-4.2724895,-10.277804
train_10,-23.78,-10.097818,-7.26659,-17.364408
train_11,-15.32,-23.861994,-28.452084,-52.31408
train_12,-31.67,-8.626852,-29.172812,-37.799664
train_13,-31.73,0.06987599,-11.155674,-11.085798
train_14,-30.7,4.209814,5.3357863,9.545601
train_15,-29.38,-6.415248,-18.482662,-24.897911
train_16,-31.38,-11.28072,-23.68485,-34.96557
train_17,-35.6,1.5434383,-12.988273,-11.444835
train_18,-18.1,-8.523396,-4.8470063,-13.370401
train_19,-17.2,-6.5716953,-7.7786045,-14.3503
train_20,-17.51,-13.344055,-3.2562654,-16.60032
train_21,-18.94,4.157511,-0.29099116,3.8665202
train_22,-9.85,-12.192117,3.1267087,-9.065408
train_23,-9.94,-9.392053,1.4066517,-7.985401
train_24,-19.12,-7.061682,-2.041859,-9.103541
train_25,-11.39,-17.541225,2.84329,-14.697935
train_26,30.81,11.418622,-0.43262038,10.986002
train_27,25.67,20.244267,2.0906045,22.334871
train_28,69.8,62.996902,6.7044697,69.70137
train_29,53.13,40.826626,1.5816288,42.408257
train_30,68.02,50.299835,3.9569392,54.256775
train_31,68.02,63.8036,3.956939,67.76054
train_32,-9.77,-10.047349,3.1419094,-6.9054394
train_33,-9.77,-11.106145,3.315438,-7.7907066
train_34,-9.77,-12.57216,-0.74054974,-13.31271
train_35,45.82,23.860306,-7.9893885,15.870917
train_36,25.34,21.94784,-8.022246,13.925593
train_37,3.81,0.25504735,5.701616,5.956663
train_38,-0.56,26.394878,5.0603313,31.45521
train_39,15.83,25.36779,2.5412543,27.909044
train_40,0.71,24.866243,9.3588705,34.225113
train_41,-12.6,-10.866891,-0.57579714,-11.442688
train_42,-4.77,-12.95106,2.5086164,-10.442444
train_43,-7.86,-16.780615,4.29708,-12.483535
train_44,4.35,-10.292219,-8.3864565,-18.678677
train_45,-25.97,-24.024551,-4.697672,-28.722223
train_46,-23.35,7.3422775,7.5426974,14.884975
train_47,-12.23,4.1639643,5.5948195,9.758783
train_48,5.59,-11.781727,-14.340859,-26.122585
train_49,-19.33,-11.006532,-9.06334,-20.069872
train_50,-12.44,-9.060768,-5.3635416,-14.42431
train_51,-8.49,5.707473,3.9053037,9.612777
train_52,-10.35,-7.982388,-2.5935364,-10.575924
train_53,-10.17,-7.811258,-3.3507705,-11.162028
train_54,-9.59,-10.246767,-5.7228713,-15.969639
train_55,-9.39,-5.9082546,-1.6231977,-7.531452
train_56,-12.46,-7.7253075,2.5127845,-5.212523
train_57,-11.27,-8.722937,1.7044034,-7.018533
train_58,-10.34,-11.278957,-2.6468093,-13.925767
train_59,-11.63,-9.850288,-3.086935,-12.937223
train_60,-11.57,-7.8388352,-4.8018203,-12.6406555
train_61,-11.12,-8.829798,-3.3311076,-12.160906
train_62,-8.33,-4.378229,-8.621854,-13.000083
train_63,-8.37,-9.570525,-5.644027,-15.214552
train_64,-9.63,-11.357613,-0.4159882,-11.773601
train_65,-10.22,-4.2764077,-8.366719,-12.643127
train_66,-9.86,-9.037555,-1.189932,-10.227487
train_67,-9.08,-8.704614,-1.1655686,-9.870182
train_68,-27.19,-15.390185,0.13148443,-15.258701
train_69,-26.61,-23.703135,-12.679911,-36.383045
train_70,-25.66,-15.584289,-6.4203405,-22.00463
train_71,-26.04,-17.110132,-7.4797673,-24.5899
train_72,-25.32,-15.390185,-9.115838,-24.506023
train_73,-27.28,-23.703135,-8.880594,-32.58373
train_74,-33.87,-15.450354,0.8854699,-14.564884
train_75,-27.67,-14.983518,13.9161005,-1.0674171
train_76,26.06,-14.098229,-7.9424367,-22.040667
train_77,24.83,-8.876221,-5.5538626,-14.430083
train_78,-0.74,-10.644431,-0.6067786,-11.251209
train_79,-21.6,-9.566128,-1.2211031,-10.7872305
train_80,4.25,4.2877226,-1.453197,2.8345256
train_81,320.67,213.16806,101.98629,315.15436
train_82,566.53,231.38057,50.750946,282.13153
train_83,251.19,192.24026,-47.425827,144.81444
train_84,337.08,444.19284,1.6951551,445.888
train_85,226.28,210.25206,-31.59885,178.65321
train_86,225.24,457.35928,-107.6666,349.6927
train_87,28.29,12.1288595,6.401474,18.530334
train_88,399.59,385.02966,367.1637,752.19336
train_89,-17.16,-13.168471,-2.6134622,-15.781934
train_90,519.21,154.32446,-13.039808,141.28465
train_91,-25.0,-19.574183,0.74050784,-18.833675
train_92,-20.71,-19.599049,-15.131474,-34.730522
train_93,-21.91,-13.168471,4.330672,-8.837799
train_94,-13.31,7.000032,-2.604528,4.395504
train_95,48.3,2.4993064,10.976906,13.4762125
train_96,1.86,7.9651756,19.749418,27.714594
train_97,33.0,-0.26821527,14.432371,14.164156
train_98,11.52,-11.910472,23.273119,11.362647
train_99,62.3,-9.71318,17.59584,7.882661
train_100,157.99,35.699715,205.84485,241.54456
train_101,241.52,33.66171,54.615604,88.27731
train_102,552.67,106.76433,124.417816,231.18214
train_103,10.67,17.624496,6.7905188,24.415016
train_104,11.36,12.094854,-3.9300013,8.164853
train_105,11.08,6.1931396,1.1223968,7.3155365
train_106,861.54,200.86896,305.1489,506.01785
train_107,1763.34,420.98215,596.22656,1017.20874
train_108,11.68,16.915129,10.29332,27.208448
train_109,178.68,309.9685,-45.05846,264.91003
train_110,775.51,888.0356,-118.78252,769.25305
train_111,12.98,17.686445,-53.24921,-35.562767
train_112,65.88,251.63503,-156.7259,94.90912
train_113,176.84,533.86694,-156.46593,377.401
train_114,63.8,212.3926,-2.7507582,209.64183
train_115,177.56,403.61365,-67.739265,335.8744
train_116,12.8,15.396618,-8.097034,7.2995834
train_117,482.89,253.42545,283.64542,537.07086
train_118,754.93,572.7817,397.61414,970.3958
train_119,11.5,12.799082,6.429407,19.228489
train_120,78.94,24.054121,-2.2510889,21.803032
train_121,47.13,33.289562,52.061005,85.35057
train_122,12.58,33.092865,-27.18727,5.905596
train_123,5.77,33.693207,6.4264746,40.119682
train_124,9.99,26.270582,10.618221,36.8888
train_125,64.3,103.25028,-1.9671818,101.283104
train_126,37.1,34.088993,-5.481169,28.607824
train_127,30.3,-17.41157,-18.845942,-36.25751
train_128,-23.02,-8.749364,5.4418707,-3.3074932
train_129,-23.13,-0.24510804,3.0995748,2.8544667
train_130,15.22,57.790615,-26.966454,30.824162
train_131,0.2,-12.223691,-9.413898,-21.637589
train_132,14.15,4.171682,18.365374,22.537056
train_133,16.5,13.466285,24.284807,37.75109
train_134,-18.6,-11.23446,24.646976,13.412517
train_135,16.21,-1.725755,6.1590204,4.4332657
train_136,15.76,-6.876026,11.348416,4.47239
train_137,-27.13,-0.9340371,9.035291,8.1012535
train_138,-26.8,-33.897114,-11.674492,-45.571606
train_139,2.68,14.120797,-0.26496175,13.855835
train_140,20.06,3.1524363,-12.160466,-9.00803
train_141,2.72,21.04288,6.566931,27.60981
train_142,48.9,0.2739507,39.033283,39.307236
train_143,7.1,15.863314,5.348983,21.212296
train_144,4.7,-3.5868623,-5.790053,-9.376915
train_145,3.74,0.16775942,14.044042,14.211802
train_146,13.93,0.20347938,7.02487,7.228349
train_147,10.1,14.249142,18.905708,33.15485
train_148,11.04,-2.5445573,4.7944207,2.2498634
train_149,12.45,-2.2804744,-1.9099348,-4.190409
train_150,11.1,1.744071,-2.4628727,-0.71880174
train_151,-17.02,6.226206,16.060175,22.28638
train_152,16.58,27.164152,20.16936,47.33351
train_153,10.77,96.99367,-77.54166,19.452011
train_154,29.31,152.52812,-27.872229,124.65589
train_155,36.3,6.770257,-5.1414313,1.6288257
train_156,32.46,73.74968,-9.729678,64.020004
train_157,79.9,94.70978,-31.761915,62.94786
train_158,36.63,106.23653,-26.694239,79.54229
train_159,95.96,133.36726,-65.721306,67.64596
train_160,48.52,19.955324,-17.969212,1.9861126
train_161,35.0,13.408248,36.240864,49.649113
train_162,30.02,-1.8264478,-8.935709,-10.7621565
train_163,-2.51,-0.36384478,-6.639391,-7.003236
train_164,4.36,22.390928,3.6740937,26.065022
train_165,141.4,17.11613,24.366192,41.482323
