scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_1,oxidation,ao_ao,Антиоксидант_5,Антиоксидант_6,Антиоксидант,Антиоксидант,32,13799.21,0.17785543203353882,0.27147582173347473,0.5276522636413574,1.2416185140609741,98.04
train_1,oxidation,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_8,Базовое,Противоизносная,0204.22,0186.22,0.023595737293362617,0.0453793965280056,0.411732017993927,1.2628744840621948,98.04
train_1,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_8,Детергент,Противоизносная,0174.22,0186.22,0.05296866223216057,0.9875096678733826,0.009386985562741756,5.71414852142334,98.04
train_1,oxidation,zddp_detergent,Детергент_4,Противоизносная_присадка_8,Детергент,Противоизносная,nan,0186.22,0.12469112873077393,0.9073541760444641,0.051228735595941544,2.682533025741577,98.04
train_2,oxidation,ao_ao,Антиоксидант_14,Антиоксидант_15,Антиоксидант,Антиоксидант,19776.19,13775.21,0.2736603915691376,0.6066291928291321,0.5082919001579285,0.8875145316123962,112.37
train_2,oxidation,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_8,Базовое,Противоизносная,0204.22,0186.22,0.021024687215685844,0.03920383378863335,0.4136630594730377,1.2964454889297485,112.37
train_2,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_8,Детергент,Противоизносная,0174.22,0186.22,0.07021066546440125,0.9863296151161194,0.01229208242148161,5.791026592254639,112.37
train_2,oxidation,zddp_detergent,Детергент_4,Противоизносная_присадка_8,Детергент,Противоизносная,nan,0186.22,0.16114862263202667,0.8926852345466614,0.06575299054384232,2.7454450130462646,112.37
train_3,oxidation,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.06129755452275276,0.4180017411708832,0.13421116769313812,1.0926382541656494,36.33
train_3,oxidation,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_1,Базовое,Противоизносная,0766.24,01296.23,0.012835961766541004,0.1368972659111023,0.09616611152887344,0.9750156402587891,36.33
train_3,oxidation,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_1,Базовое,Противоизносная,0766.24,01296.23,0.014862660318613052,0.1472226083278656,0.11263317614793777,0.8963047862052917,36.33
train_3,oxidation,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_1,Базовое,Противоизносная,0407.24,01296.23,0.02567414380609989,0.0785638839006424,0.3935253918170929,0.8304247260093689,36.33
train_3,oxidation,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_1,Базовое,Противоизносная,0886.24,01296.23,0.006372743286192417,0.15383602678775787,0.053262725472450256,0.7777588963508606,36.33
train_3,oxidation,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_1,Базовое,Противоизносная,0767.24,01296.23,0.012763324193656445,0.18767058849334717,0.0793691873550415,0.8568714261054993,36.33
train_3,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_1,Детергент,Противоизносная,03203.23,01296.23,0.0036488384939730167,0.7872303128242493,0.003918997943401337,1.182708740234375,36.33
train_3,oxidation,zddp_detergent,Детергент_2,Противоизносная_присадка_1,Детергент,Противоизносная,01297.23,01296.23,0.0012745475396513939,0.25580015778541565,0.007008688058704138,0.7109163403511047,36.33
train_3,oxidation,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_1,Дисперсант,Противоизносная,03067.22,01296.23,0.016998467966914177,0.1317846029996872,0.11990461498498917,1.07574462890625,36.33
train_4,oxidation,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.09228722006082535,0.41824468970298767,0.20188233256340027,1.0929814577102661,37.95
train_4,oxidation,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_17,Базовое,Противоизносная,0766.24,01077.24 Arkema,0.011700514703989029,0.1270839422941208,0.132515087723732,0.6947826147079468,37.95
train_4,oxidation,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_17,Базовое,Противоизносная,0766.24,01077.24 Arkema,0.01099434494972229,0.12573513388633728,0.12981046736240387,0.6736013889312744,37.95
train_4,oxidation,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_17,Базовое,Противоизносная,0407.24,01077.24 Arkema,0.010286182165145874,0.04586908221244812,0.2307737171649933,0.9717349410057068,37.95
train_4,oxidation,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_17,Базовое,Противоизносная,0886.24,01077.24 Arkema,0.005272241774946451,0.14932599663734436,0.0657287985086441,0.5371606349945068,37.95
train_4,oxidation,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_17,Базовое,Противоизносная,0767.24,01077.24 Arkema,0.005681999027729034,0.1486319899559021,0.0554584264755249,0.6893207430839539,37.95
train_4,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_17,Детергент,Противоизносная,03203.23,01077.24 Arkema,0.00427593570202589,0.7775397896766663,0.0036909340415149927,1.4899519681930542,37.95
train_4,oxidation,zddp_detergent,Детергент_2,Противоизносная_присадка_17,Детергент,Противоизносная,01297.23,01077.24 Arkema,0.002915886929258704,0.3211664855480194,0.011143377982079983,0.8147485256195068,37.95
train_4,oxidation,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_17,Дисперсант,Противоизносная,03067.22,01077.24 Arkema,0.020476168021559715,0.14996959269046783,0.1689969003200531,0.8079169988632202,37.95
train_5,oxidation,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.08694557100534439,0.41818323731422424,0.19024263322353363,1.0928813219070435,34.9
