scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_1,viscosity,ao_ao,Антиоксидант_5,Антиоксидант_6,Антиоксидант,Антиоксидант,32,13799.21,0.00043075569556094706,0.0073712351731956005,0.026637587696313858,2.1937942504882812,25.4
train_1,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_8,Базовое,Противоизносная,0204.22,0186.22,0.013716387562453747,0.011255891062319279,0.9067238569259644,1.3439552783966064,25.4
train_1,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_8,Детергент,Противоизносная,0174.22,0186.22,0.0016191382892429829,0.1110660508275032,0.01256801001727581,1.159941554069519,25.4
train_1,viscosity,zddp_detergent,Детергент_4,Противоизносная_присадка_8,Детергент,Противоизносная,nan,0186.22,0.019670629873871803,0.28730714321136475,0.05407055839896202,1.2662253379821777,25.4
train_2,viscosity,ao_ao,Антиоксидант_14,Антиоксидант_15,Антиоксидант,Антиоксидант,19776.19,13775.21,0.005124669522047043,0.04417785629630089,0.0951613113284111,1.2189918756484985,20.5
train_2,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_8,Базовое,Противоизносная,0204.22,0186.22,0.020519625395536423,0.019115468487143517,0.8487867712974548,1.2646952867507935,20.5
train_2,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_8,Детергент,Противоизносная,0174.22,0186.22,0.0014717840822413564,0.12265699356794357,0.01045787800103426,1.1473824977874756,20.5
train_2,viscosity,zddp_detergent,Детергент_4,Противоизносная_присадка_8,Детергент,Противоизносная,nan,0186.22,0.019247256219387054,0.3151533305644989,0.04559402912855148,1.3394883871078491,20.5
train_3,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,2.4303935788339004e-05,0.16560086607933044,0.00011390533472876996,1.2884570360183716,-20.3
train_3,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_1,Базовое,Противоизносная,0766.24,01296.23,1.5598793029785156,0.691952645778656,0.48796340823173523,4.619844913482666,-20.3
train_3,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_1,Базовое,Противоизносная,0766.24,01296.23,0.6675779819488525,0.694218099117279,0.22346751391887665,4.303201198577881,-20.3
train_3,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_1,Базовое,Противоизносная,0407.24,01296.23,0.11066865921020508,0.5337672233581543,0.052709948271512985,3.933509111404419,-20.3
train_3,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_1,Базовое,Противоизносная,0886.24,01296.23,0.5175148248672485,0.8623656034469604,0.15165552496910095,3.957064151763916,-20.3
train_3,viscosity,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_1,Базовое,Противоизносная,0767.24,01296.23,0.21367791295051575,0.6076146960258484,0.083522267639637,4.210455417633057,-20.3
train_3,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_1,Детергент,Противоизносная,03203.23,01296.23,1.759087354002986e-05,0.5489819049835205,1.357531982648652e-05,2.360365629196167,-20.3
train_3,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_1,Детергент,Противоизносная,01297.23,01296.23,2.637907709868159e-05,0.5389811396598816,1.6246769519057125e-05,3.012444257736206,-20.3
train_3,viscosity,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_1,Дисперсант,Противоизносная,03067.22,01296.23,0.00020991699420847,0.24675743281841278,0.0005376906483434141,1.5821398496627808,-20.3
train_4,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.00010369302617618814,0.1650373488664627,0.0004880980995949358,1.2872419357299805,-20.6
train_4,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_17,Базовое,Противоизносная,0766.24,01077.24 Arkema,0.9538417458534241,0.8393377065658569,0.26075926423072815,4.358126640319824,-20.6
train_4,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_17,Базовое,Противоизносная,0766.24,01077.24 Arkema,0.3760417103767395,0.8095822334289551,0.11266109347343445,4.1228837966918945,-20.6
train_4,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_17,Базовое,Противоизносная,0407.24,01077.24 Arkema,0.35239651799201965,0.8537616729736328,0.12704436480998993,3.2489240169525146,-20.6
train_4,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_17,Базовое,Противоизносная,0886.24,01077.24 Arkema,1.6031501293182373,0.8593771457672119,0.41917625069618225,4.450345516204834,-20.6
train_4,viscosity,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_17,Базовое,Противоизносная,0767.24,01077.24 Arkema,0.25232070684432983,0.7695831060409546,0.0781262218952179,4.196628570556641,-20.6
train_4,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_17,Детергент,Противоизносная,03203.23,01077.24 Arkema,0.0001901601644931361,0.680608332157135,9.890945511870086e-05,2.8247790336608887,-20.6
train_4,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_17,Детергент,Противоизносная,01297.23,01077.24 Arkema,0.00030903948936611414,0.7222163677215576,0.00012965557107236236,3.3003153800964355,-20.6
train_4,viscosity,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_17,Дисперсант,Противоизносная,03067.22,01077.24 Arkema,0.0011549743358045816,0.5038719177246094,0.0015161163173615932,1.5118881464004517,-20.6
train_5,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.00010967886191792786,0.16519039869308472,0.000515663530677557,1.2875726222991943,-18.9
train_5,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_17,Базовое,Противоизносная,0766.24,01078.24 Celanese,0.8893912434577942,0.8207663297653198,0.2446414679288864,4.429383277893066,-18.9
train_5,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_17,Базовое,Противоизносная,0766.24,01078.24 Celanese,0.3990652561187744,0.7962198853492737,0.11903391033411026,4.2105631828308105,-18.9
train_5,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_17,Базовое,Противоизносная,0407.24,01078.24 Celanese,0.23596873879432678,0.7379875183105469,0.08677363395690918,3.6848318576812744,-18.9
train_5,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_17,Базовое,Противоизносная,0886.24,01078.24 Celanese,1.8487920761108398,0.8600091338157654,0.47430551052093506,4.532385349273682,-18.9
train_5,viscosity,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_17,Базовое,Противоизносная,0767.24,01078.24 Celanese,0.22837044298648834,0.7500103712081909,0.07300645858049393,4.170722961425781,-18.9
train_5,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_17,Детергент,Противоизносная,03203.23,01078.24 Celanese,0.00020416153711266816,0.6742818355560303,0.00010858937457669526,2.7883360385894775,-18.9
train_5,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_17,Детергент,Противоизносная,01297.23,01078.24 Celanese,0.00032031667069531977,0.7249215245246887,0.0001352245599264279,3.2676308155059814,-18.9
train_5,viscosity,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_17,Дисперсант,Противоизносная,03067.22,01078.24 Celanese,0.0013680331176146865,0.5237202048301697,0.0014795418828725815,1.7655093669891357,-18.9
train_6,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.00011923847341677174,0.16468271613121033,0.0005628167418763041,1.2864750623703003,-17.83
train_6,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_27,Базовое,Противоизносная,0766.24,01363.24,0.7771876454353333,0.7989374399185181,0.20966704189777374,4.639625549316406,-17.83
train_6,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_27,Базовое,Противоизносная,0766.24,01363.24,0.9366857409477234,0.8162664771080017,0.2417295277118683,4.747142314910889,-17.83
train_6,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_27,Базовое,Противоизносная,0407.24,01363.24,0.05775299668312073,0.6236445307731628,0.0229388028383255,4.037073612213135,-17.83
train_6,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_27,Базовое,Противоизносная,0886.24,01363.24,2.197575092315674,0.9063017964363098,0.4981822073459625,4.867238998413086,-17.83
train_6,viscosity,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_27,Базовое,Противоизносная,0767.24,01363.24,0.07030602544546127,0.7524496912956238,0.02132197842001915,4.382153511047363,-17.83
train_6,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_27,Детергент,Противоизносная,03203.23,01363.24,0.00018785303109325469,0.8250727653503418,6.005808972986415e-05,3.7910056114196777,-17.83
train_6,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_27,Детергент,Противоизносная,01297.23,01363.24,0.00016807432984933257,0.8443146347999573,5.068997052148916e-05,3.9271278381347656,-17.83
train_6,viscosity,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_27,Дисперсант,Противоизносная,03067.22,01363.24,0.007815619930624962,0.627006471157074,0.005486844107508659,2.2717931270599365,-17.83
train_7,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.00013977731578052044,0.16604773700237274,0.0006528458907268941,1.2894160747528076,-18.1
train_7,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_18,Базовое,Противоизносная,0766.24,01872.24,1.2499969005584717,0.8590524792671204,0.34833860397338867,4.177222728729248,-18.1
train_7,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_18,Базовое,Противоизносная,0766.24,01872.24,0.3465130031108856,0.8119909763336182,0.11370895802974701,3.752957344055176,-18.1
train_7,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_18,Базовое,Противоизносная,0407.24,01872.24,0.5889080762863159,0.8378191590309143,0.21419282257556915,3.2816503047943115,-18.1
train_7,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_18,Базовое,Противоизносная,0886.24,01872.24,0.848160445690155,0.8728927969932556,0.23224632441997528,4.183774471282959,-18.1
train_7,viscosity,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_18,Базовое,Противоизносная,0767.24,01872.24,0.31293851137161255,0.816230058670044,0.08787909895181656,4.362754821777344,-18.1
train_7,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_18,Детергент,Противоизносная,03203.23,01872.24,0.0002591717056930065,0.7349478602409363,0.00011576655379030854,3.0461266040802,-18.1
train_7,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_18,Детергент,Противоизносная,01297.23,01872.24,0.00040502342744730413,0.7331368923187256,0.00017374110757373273,3.179746389389038,-18.1
train_7,viscosity,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_18,Дисперсант,Противоизносная,03067.22,01872.24,0.0014087810413911939,0.4061205983161926,0.0026918789371848106,1.2886439561843872,-18.1
train_8,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,0.0001108728174585849,0.16627074778079987,0.0005169585347175598,1.2898924350738525,-19.12
train_8,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_26,Базовое,Противоизносная,0766.24,COMP-2024-0017-M,0.1437910795211792,0.13423919677734375,0.36189231276512146,2.959874153137207,-19.12
train_8,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_26,Базовое,Противоизносная,0766.24,COMP-2024-0017-M,0.3212968111038208,0.2681041359901428,0.4252733886241913,2.8179590702056885,-19.12
train_8,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_26,Базовое,Противоизносная,0407.24,COMP-2024-0017-M,0.003561971941962838,0.06094222143292427,0.017180034890770912,3.402108669281006,-19.12
train_8,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_26,Базовое,Противоизносная,0886.24,COMP-2024-0017-M,0.5553960800170898,0.8609560132026672,0.15575601160526276,4.141684532165527,-19.12
train_8,viscosity,antiwear_ca_mg,Базовое_масло_5,Противоизносная_присадка_26,Базовое,Противоизносная,0767.24,COMP-2024-0017-M,0.023139651864767075,0.20655950903892517,0.03582034260034561,3.1273889541625977,-19.12
train_8,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_26,Детергент,Противоизносная,03203.23,COMP-2024-0017-M,8.879529923433438e-05,0.5857158899307251,6.246298289624974e-05,2.427058458328247,-19.12
train_8,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_26,Детергент,Противоизносная,01297.23,COMP-2024-0017-M,0.00011331748828524724,0.5027621388435364,7.944561366457492e-05,2.83703351020813,-19.12
train_8,viscosity,antiwear_ca_mg,Дисперсант_1,Противоизносная_присадка_26,Дисперсант,Противоизносная,03067.22,COMP-2024-0017-M,0.00099573761690408,0.1668372005224228,0.0034190774895250797,1.7455934286117554,-19.12
train_9,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_3,Антиоксидант,Антиоксидант,01028.23,с ЦП 28.02.2024г,4.164449273957871e-05,0.1664639413356781,0.00019388555665500462,1.2903037071228027,-19.54
train_9,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_25,Базовое,Противоизносная,0766.24,COMP-2024-0018-M,1.6312836408615112,0.7619911432266235,0.43214794993400574,4.9538984298706055,-19.54
train_9,viscosity,antiwear_ca_mg,Базовое_масло_1,Противоизносная_присадка_25,Базовое,Противоизносная,0766.24,COMP-2024-0018-M,0.9347582459449768,0.7135080695152283,0.28067395091056824,4.66765022277832,-19.54
