scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_110,viscosity,zn_dispersant,Дисперсант_2,Дисперсант_3,Дисперсант,Дисперсант,01025.23,01030.23,5.939451217651367,0.943015456199646,0.9574010968208313,6.578601837158203,775.51
train_107,viscosity,ao_mo,Антиоксидант_2,Соединение_молибдена_1,Антиоксидант,Соединение,01623.24,COMP-2023-0003-M,5.664041996002197,0.9221515655517578,0.9912641048431396,6.196333408355713,1763.34
train_118,viscosity,ao_mo,Антиоксидант_2,Соединение_молибдена_1,Антиоксидант,Соединение,01623.24,COMP-2023-0003-M,5.664041996002197,0.9221515655517578,0.9912641048431396,6.196333408355713,754.93
train_90,viscosity,zddp_detergent,Детергент_7,Противоизносная_присадка_7,Детергент,Противоизносная,03229.24,02359.22,5.3634772300720215,0.9903712868690491,0.9002853631973267,6.015451431274414,519.21
train_101,viscosity,zn_dispersant,Дисперсант_2,Дисперсант_3,Дисперсант,Дисперсант,01025.23,01030.23,5.167855262756348,0.9172171950340271,0.8909823894500732,6.323667526245117,241.52
train_109,viscosity,zn_dispersant,Дисперсант_2,Дисперсант_3,Дисперсант,Дисперсант,01025.23,01030.23,5.109884738922119,0.9155910611152649,0.9629490971565247,5.795704364776611,178.68
train_100,viscosity,zn_dispersant,Дисперсант_2,Дисперсант_3,Дисперсант,Дисперсант,01025.23,01030.23,4.6585893630981445,0.8921895623207092,0.8983067274093628,5.812629222869873,157.99
train_106,viscosity,ao_mo,Антиоксидант_2,Соединение_молибдена_1,Антиоксидант,Соединение,01623.24,COMP-2023-0003-M,4.339372158050537,0.8814646005630493,0.9865017533302307,4.99027156829834,861.54
train_117,viscosity,ao_mo,Антиоксидант_2,Соединение_молибдена_1,Антиоксидант,Соединение,01623.24,COMP-2023-0003-M,4.339372158050537,0.8814646005630493,0.9865017533302307,4.99027156829834,482.89
train_55,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_10,Базовое,Противоизносная,01939.22,02028.22,4.10534143447876,0.8879359364509583,0.9001374244689941,5.136399745941162,-9.39
train_15,viscosity,ao_ao,Антиоксидант_13,Антиоксидант_7,Антиоксидант,Антиоксидант,02993.24,п.EQ2023082507,3.992973566055298,0.883014440536499,0.9375407695770264,4.823235511779785,-29.38
train_16,viscosity,ao_ao,Антиоксидант_13,Антиоксидант_7,Антиоксидант,Антиоксидант,02993.24,п.EQ2023082507,3.9774868488311768,0.8770659565925598,0.9400354027748108,4.824277877807617,-31.38
train_54,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_10,Базовое,Противоизносная,01939.22,02028.22,3.953900098800659,0.8679675459861755,0.8846085071563721,5.149571418762207,-9.59
train_52,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_10,Базовое,Противоизносная,01939.22,02028.22,3.8248186111450195,0.8567116856575012,0.8703166246414185,5.129781723022461,-10.35
