patent_id,source_url,component_name_open,batch_name,likely_family,property_name,unit,property_value,notes
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 1,Антиоксидант,Mono-C9-alkyl substituted diphenylamine share,mass %,0.50,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 1,Антиоксидант,Di-C9-alkyl substituted diphenylamine share,mass %,95.2,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 1,Антиоксидант,Tri-C9-alkyl substituted diphenylamine share,mass %,4.30,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 2,Антиоксидант,Mono-C9-alkyl substituted diphenylamine share,mass %,0.10,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 2,Антиоксидант,Di-C9-alkyl substituted diphenylamine share,mass %,93.2,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 2,Антиоксидант,Tri-C9-alkyl substituted diphenylamine share,mass %,6.70,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 3,Антиоксидант,Mono-C9-alkyl substituted diphenylamine share,mass %,0.30,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 3,Антиоксидант,Di-C9-alkyl substituted diphenylamine share,mass %,95.6,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 3,Антиоксидант,Tri-C9-alkyl substituted diphenylamine share,mass %,4.10,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 4,Антиоксидант,Mono-C9-alkyl substituted diphenylamine share,mass %,0.04,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 4,Антиоксидант,Di-C9-alkyl substituted diphenylamine share,mass %,93.5,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 4,Антиоксидант,Tri-C9-alkyl substituted diphenylamine share,mass %,6.46,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 5,Антиоксидант,Mono-C9-alkyl substituted diphenylamine share,mass %,0.80,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 5,Антиоксидант,Di-C9-alkyl substituted diphenylamine share,mass %,95.3,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 1,Batch 5,Антиоксидант,Tri-C9-alkyl substituted diphenylamine share,mass %,3.9,"UPLC; based on mono/di/tri C9-substituted diphenylamines"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 2,not disclosed,Антиоксидант,Mono-C9-alkyl substituted diphenylamine share,mass %,29,"Approximate composition"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 2,not disclosed,Антиоксидант,Di-C9-alkyl substituted diphenylamine share,mass %,68,"Approximate composition"
US20250136889A1,https://patents.google.com/patent/US20250136889A1/en,Component 2,not disclosed,Антиоксидант,Tri-C9-alkyl substituted diphenylamine share,mass %,3,"Approximate composition"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal sulfonate detergent,prepared example,Детергент,Calcium content,mass %,4.4,"Prepared example; D4951"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal sulfonate detergent,prepared example,Детергент,Magnesium content,mass %,5.5,"Prepared example; D4951"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal sulfonate detergent,prepared example,Детергент,Sulfur content,mass %,1.3,"Prepared example; D4951"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal sulfonate detergent,prepared example,Детергент,TBN,mg KOH/g,364.5,"Prepared example; ASTM D2896"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal salicylate detergent,prepared example,Детергент,Calcium content,mass %,7.1,"Prepared example; D4951"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal salicylate detergent,prepared example,Детергент,Magnesium content,mass %,2.3,"Prepared example; D4951"
US11142719B2,https://patents.google.com/patent/US11142719,Mixed metal salicylate detergent,prepared example,Детергент,TBN,mg KOH/g,300.4,"Prepared example; ASTM D2896"
