feature,target_viscosity,target_oxidation,abs_sum_coef
temperature_c,-36.807648424682306,-6.411111052279034,43.21875947696134
severity_exp,-36.28648466189021,-6.418378435617024,42.704863097507236
time_h,28.42143198805035,4.365445085709527,32.786877073759875
temperature_x_time,21.56895898126798,3.0645078835064736,24.63346686477445
interaction__biofuel_x_zddp,20.051552402153796,3.146517759078887,23.198070161232682
base_oil__kv100__wm,-13.689437903996014,-2.082791954208745,15.77222985820476
family_total_dose__antiwear,13.154889914557439,1.6702402970126136,14.825130211570052
base_oil__kv100__max,11.538980875980101,3.1297207844554604,14.668701660435563
biofuel_x_catalyst,-10.988614509274726,-1.06636197560697,12.054976484881696
base_oil__kv40__wm,-9.798531093255594,-1.1815143645987722,10.980045457854366
base_oil__kv40__max,8.019852082009304,2.828221089587042,10.848073171596347
detergent__water_pct__wm,8.47802309526538,1.6569220861245937,10.134945181389973
antioxidant__ionization_ev__max,-9.044984791877427,-0.6978260323335584,9.742810824210986
base_oil__deem_oil_ml__max,-7.781414837184254,-1.6136033497035647,9.39501818688782
antioxidant__steric_factor__wm,-7.100431054129369,-1.8061289715054374,8.906560025634807
textnum__antioxidant__тип_ао__ao_type_is_phenol__max,-8.073228920714131,-0.37257987197470777,8.445808792688839
time_x_biofuel,6.763738761426395,1.6639672530445033,8.427706014470898
antioxidant__bde_xh_kcal__max,-6.589068731568921,-1.7603342258020847,8.349402957371005
base_oil__pour_point_c__max,4.91242561106175,3.1744532193817925,8.086878830443542
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__wm,-7.335367478561218,-0.09216718736781385,7.4275346659290316
antioxidant__ionization_ev__wm,5.77865094764529,1.5405888699704884,7.319239817615778
antioxidant__lumo_ev__max,-6.964804338678096,-0.19098202211183649,7.155786360789933
antioxidant__bde_xh_kcal__wm,-5.602291657286917,-1.395711526997093,6.998003184284009
catcount__base_oil__группа_по_api__1,4.131504984624114,2.3908481512588176,6.522353135882932
catcount__base_oil__группа_по_api__3,-4.969418841443364,-1.4675059950145515,6.436924836457916
textnum__base_oil__происхождение__origin_is_mineral__max,4.3449911443437745,1.7537453221566341,6.098736466500409
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__max,-6.019018076671116,0.008108024789172445,6.027126101460288
catdose__antiwear__разветвленность_радикала___радикалов__mixed,5.640202601166866,0.22110955239623506,5.861312153563101
base_oil__sulfur_mgkg__max,3.679198489659582,2.052514528060702,5.731713017720284
textnum__detergent__номер_cas__cas_count__max,-4.457863240412599,-1.0522129193943865,5.510076159806985
antiwear__chain_length__count,-3.8234074042281714,-1.5386397462078594,5.36204715043603
base_oil__deem_time_min__max,4.082134660454149,1.1105839239584026,5.192718584412551
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__max,4.480564916282025,-0.3924712183756528,4.873036134657678
catcount__antiwear__тип_спиртового_радикала__secondary,4.480564916282025,-0.3924712183756528,4.873036134657678
textnum__antiwear__разветвленность_радикала___радикалов__text_length__max,4.49257034046656,0.3769829449003905,4.86955328536695
interaction__biofuel_x_ao,-4.004077483484829,0.8596126052916134,4.863690088776442
catdose__base_oil__группа_по_api__1,3.038325549702028,1.8156069756399902,4.853932525342018
base_oil__vi__max,-3.709958247633046,-1.1191249510665287,4.829083198699575
catdose__antiwear__тип_спиртового_радикала__primary,2.790986540312188,1.827235590609289,4.6182221309214775
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,3.948315503890462,-0.4484153745672614,4.396730878457723
antiwear__chain_length__max,3.7690481848700426,0.5726071331365468,4.341655318006589
antiwear__chain_length__wm,3.730079842480107,0.5486779579030037,4.278757800383111
textnum__polymer__соотношение_мономеров_(eo:po)__has_text_value__count,3.1999241815928725,1.0029553766296337,4.202879558222506
textnum__polymer__соотношение_мономеров_(eo:po)__text_length__count,3.1999241815928725,1.0029553766296337,4.202879558222506
polymer__weight_avg_mw__count,3.1999241815928725,1.0029553766296337,4.202879558222506
catcount__polymer__соотношение_мономеров_(eo:po)__eo_po_ratio,3.1999241815928725,1.0029553766296337,4.202879558222506
catdose__antiwear__тип_спиртового_радикала__secondary,3.142459060364679,-0.8112688710854719,3.953727931450151
base_oil__ccs_m25__max,1.9641426282305585,1.9690010532223752,3.9331436814529335
antioxidant__chemical_potential_jmol__wm,-2.9122647620463202,-1.0052771773389935,3.9175419393853135
catdose__antiwear__тип_спиртового_радикала__mixed,2.5016397361357643,-1.3190816443855908,3.820721380521355
base_oil__foam_seq2_cm3__max,3.3984440802658455,0.36969928252088097,3.7681433627867267
base_oil__foam_seq1_cm3__max,3.338418339744468,0.39851695944811605,3.736935299192584
textnum__antiwear__разветвленность_радикала___радикалов__text_length__wm,3.6990604581789555,0.002992706032257201,3.7020531642112124
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,2.3254656702041507,-1.346340049135617,3.6718057193397677
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__max,2.352794839525263,-1.3020473641190888,3.6548422036443515
catcount__antiwear__тип_спиртового_радикала__mixed,2.352794839525263,-1.3020473641190888,3.6548422036443515
base_oil__foam_seq3_cm3__max,3.229972373098479,0.2832851198998378,3.5132574929983167
antioxidant__lumo_ev__wm,2.6950130485871684,0.7001551624537312,3.3951682110408994
textnum__base_oil__происхождение__origin_is_mineral__wm,2.0769852296432356,1.2627507993290041,3.33973602897224
temperature_x_biofuel,-3.2175643771402296,-0.04944393833886259,3.2670083154790923
textnum__base_oil__происхождение__origin_is_hydrocracking__wm,-1.725742422380898,-1.2749861094678843,3.0007285318487824
catcount__antiwear__разветвленность_радикала___радикалов__single,2.3166473407247135,-0.6540297076365035,2.970677048361217
textnum__antioxidant__тип_ао__text_length__wm,2.512606705488521,0.44405958181423427,2.956666287302755
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,2.5126067054885173,0.4440595818142335,2.9566662873027507
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,-2.5126067054885137,-0.4440595818142334,2.956666287302747
base_oil__foam_seq1_cm3__wm,2.64457800652807,0.2381461217333127,2.882724128261383
base_oil__ccs_m20__wm,-2.075201166954405,0.7047111709154447,2.7799123378698494
base_oil__ccs_m35__max,0.07106973438846037,2.6914945470766827,2.762564281465143
base_oil__foam_seq2_cm3__wm,2.5001375158096226,0.1787887899271731,2.6789263057367956
base_oil__ccs_m20__max,-1.3000349174504933,1.3275643981548242,2.6275993156053175
base_oil__ccs_m25__wm,1.232594153171097,1.3602067739981496,2.5928009271692467
detergent__tbn_astm__wm,2.370478324191482,-0.20430939193137082,2.5747877161228527
base_oil__deem_time_min__wm,1.8464329506391908,0.6816050847367893,2.52803803537598
base_oil__ccs_m35__wm,0.41948074998027074,2.0577558417688477,2.4772365917491186
textnum__antioxidant__номер_cas___smiles__cas_count__max,1.4558584432407013,1.016085765810058,2.4719442090507595
base_oil__ccs_m15__wm,-1.8431839280955438,0.6170575030631594,2.4602414311587033
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__wm,-1.7280606367318134,0.7179521361892175,2.446012772921031
detergent__tbn_gost__wm,1.8457306651914673,0.5459770344433473,2.3917076996348148
catcount__antiwear__разветвленность_радикала___радикалов__mixed,-1.433268740535169,-0.8759009590998237,2.3091696996349924
detergent__tbn_gost__max,1.784126696089176,0.4977304991164782,2.2818571952056543
textnum__base_oil__происхождение__text_length__wm,-1.0149675945933663,-1.2448695449534588,2.259837139546825
