feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
temperature_c,0.12848879127090532,-0.04682834291530861,-0.16182956288111405,-0.15380784509858153,0.010786900020520098,0.02933457904701967,-0.008248099564632403,-0.06741841568795598
base_oil__foam_seq1_cm3__max,0.02489744209019739,0.09402804767632593,-0.010277002145733079,0.03524874599329825,0.044347337061456604,0.2563675488890216,0.40820443944281204,0.007103796818173136
severity_exp,0.12778920040463645,-0.04402418892510827,-0.14789270027825793,-0.1342087475403549,0.016174840241823217,0.02155605873555616,-0.015501102718920334,-0.09065207845020325
base_oil__foam_seq1_cm3__wm,0.023507477835590585,0.09149281933259532,-0.009149731962739265,0.0372530474988906,0.04082467674122825,0.256858469099906,0.4110698211171852,0.012182382875742366
base_oil__foam_seq2_cm3__max,0.021879649213172966,0.0875204853364982,-0.00769912522122412,0.0380277739298446,0.03532219806961448,0.2580561164372018,0.41583447990287725,0.024490084636499602
base_oil__foam_seq2_cm3__wm,0.021637900361737687,0.08732535526914675,-0.007293917791151033,0.03848692568874566,0.03505466102490842,0.2568708639277915,0.4152937764154259,0.023880814278675947
textnum__antiwear__разветвленность_радикала___радикалов__text_length__wm,-0.1498537378738837,0.09706143343693178,-0.0471801977155835,-0.027658653296917288,0.010131994515768824,0.00621207506118839,0.019016904719509654,-0.08133918878376462
time_h,-0.0901771791467594,0.049591233941984225,0.20302034283483952,0.24228723726564852,0.03462508177950013,-0.07513553143839062,-0.04643137675103324,-0.11164702564260674
base_oil__foam_seq3_cm3__max,0.02410493638898265,0.08435909450928225,-0.002707958775689036,0.03942656982680212,0.03344914960268032,0.25392001111535584,0.42131329416637764,0.02505064794039991
textnum__antiwear__разветвленность_радикала___радикалов__text_length__max,-0.151155704218708,0.08950661049775982,-0.0793629259593903,-0.006404212325406972,0.015341089627503522,-0.015723569772477578,0.010843366297315624,-0.03644035583315511
time_x_biofuel,-0.153347419967172,0.025548138069719582,0.08601329108716298,0.1026738162818223,-0.04676186358694459,0.10161728287245003,-0.12794442951930105,0.02610897909852627
textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__wm,-0.111292034755729,0.09385846234744039,-0.16127931590619388,0.18819325307896534,-0.010992449816871875,0.09334729962117738,0.03224792030850463,-0.11590940105955344
base_oil__foam_seq3_cm3__wm,0.024006227758706724,0.08136516780351823,0.0005601960795693604,0.03892612076689349,0.03437311274382892,0.25174340725699906,0.42140443728349963,0.01773943887528082
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__max,0.0835980692887291,-0.1268388414845626,0.23058173652471828,-0.06323767893424578,-0.049933478620933,-0.011977182504134138,0.07999731984283828,0.03848044889411032
textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__max,-0.10311180570652657,0.07107781412204056,-0.2262770964880076,0.2210849699054745,0.00014023038021642757,0.039883360536951094,-0.004135109032401539,0.0174823444727365
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.08521640679169872,-0.12438110265970735,0.23958711566995647,-0.06711418682454019,-0.055247199534312924,-0.0055701394626967255,0.06984633674691568,0.0484985897191995
base_oil__ccs_m15__max,0.07805759001133938,0.1619102598814754,-0.013923628121520974,-0.08527200462239355,0.17395244975899551,0.05371323254174593,-0.07359566482239442,0.07694661482470494
biofuel_pct,-0.15325652956180238,0.01933441172136846,0.05730855245184585,0.07241170956654316,-0.059233328045344466,0.12525712973952202,-0.13148952041308298,0.051422392147715296
interaction__biofuel_x_zddp,-0.15907673526965777,0.03610646671010707,0.09941938000246664,-0.08019911856009393,-0.024515536978372367,0.020876886382764248,-0.01310138887549677,0.06133003735342074
temperature_x_biofuel,-0.15235321919234096,0.01764568534941213,0.050934485543928154,0.06812172449419922,-0.06110500340724516,0.1313987593564441,-0.13696628626376153,0.04970148124932667
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__wm,-0.07644798433145987,0.12520889720226897,-0.23506571115891894,0.04887907204959167,0.054891634758611606,-0.01991061974050505,-0.044465519157394814,-0.0011900480180575303
antiwear__sulfur_pct__wm,0.06360345541836183,-0.08653110994384813,0.047027920806307764,-0.17146575320780544,-0.025144716131804214,-0.1887101281415641,-0.059861241375454954,0.09803433755397457
antiwear__sulfur_pct__max,0.06352562792953716,-0.08565811565592857,0.04230820831883158,-0.171230697455301,-0.020308346896786515,-0.1906676323752864,-0.054741082124383715,0.08198971741100135
temperature_x_time,-0.06414623130174993,0.04346489275173747,0.18886576248740944,0.24007824923813173,0.046413923602794296,-0.08094708063595962,-0.05935055168548779,-0.15796308583765764
base_oil__kv100__max,-0.01113713665451948,0.17856711615953233,-0.10249546792812944,0.0021100121214087855,0.032922521800174874,-0.06370056086245685,-0.07120890256153524,0.2645513392541262
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__max,-0.0756202095303867,0.11760105891990169,-0.24544457373437265,0.05758548522585746,0.0628595685807486,-0.04070394584858136,-0.024909543770207928,-0.02133683389217309
catcount__antiwear__тип_спиртового_радикала__secondary,0.0835980692887291,-0.1268388414845626,0.23058173652471828,-0.06323767893424578,-0.049933478620933,-0.011977182504134138,0.07999731984283828,0.03848044889411032
biofuel_x_catalyst,-0.1337669656418042,0.011387569541888088,0.04407882228252911,0.09083475430946615,-0.057278664707328814,0.16637338816704467,-0.1818749639746842,0.07905852352926405
base_oil__ccs_m20__max,0.09657334183326254,0.15107846906411543,-0.044781849543651775,-0.06014371724244973,0.17123659328514731,0.04801266418739947,-0.0971974430225126,0.08318926520488633
catcount__antiwear__разветвленность_радикала___радикалов__single,0.07485653600669813,-0.12752840952108815,0.22558207369302408,-0.045206711436276165,-0.049371000796012164,0.012791346518369223,0.05532682094329303,-0.008113676944834974
base_oil__ccs_m25__max,0.08976525564240001,0.13045190060536296,-0.03588921012782488,-0.018787375581848856,0.16769709861006846,0.09019281501785124,-0.048852899849704236,0.0687671581917158
catcount__base_oil__группа_по_api__1,0.10706555004823601,0.12589672225275034,0.015233161269439762,-0.08750645433008725,0.1893932418551119,0.08544304671267815,-0.08968320121112032,0.08984517908219725
catdose__antiwear__разветвленность_радикала___радикалов__mixed,-0.06379820924591349,0.14045358667477184,-0.029483374114581906,-0.16070080719189941,0.1331247815108125,-0.015205639220885666,0.09524457187395378,-0.26927156686599324
base_oil__deem_oil_ml__max,0.03901802071743496,0.05194056243951679,0.09108217385821282,-0.13228432511234875,0.13040253492646042,0.2156451908989297,0.12656385661258884,-0.00582839240166263
base_oil__kv40__max,0.03138024688513485,0.18971173124169952,-0.08712558687961225,-0.035161962524589044,0.10327072119228502,-0.022067433014984403,-0.08196917853984768,0.21991079332783472
interaction__biofuel_x_ao,-0.10110235265240768,0.01124293566343417,0.014403179918634218,0.0997679398854537,-0.012446229198322426,0.15026443238128087,-0.19562381632862905,0.14395661709725227
base_oil__deem_time_min__max,0.0318486267329439,0.0586041862838956,-0.05565167073304371,0.06690980891882425,0.05489874936241015,-0.012244173619493225,0.014026022953440099,-0.059329352457251364
base_oil__sulfur_mgkg__max,0.11768790418309413,0.11550831355205544,0.042937353649418045,-0.1017640354588868,0.15538542968291255,0.07664681701907873,-0.07311802554153043,0.09204081025449846
antiwear__chain_length__max,-0.11578711793500385,-0.0020363501976317132,0.05048625857696104,0.06909246176402072,-0.034910438046387514,0.08795248014018074,0.004414700733101277,0.01499387154651095
antiwear__chain_length__wm,-0.11615255592437927,-0.00374225224950895,0.0515918928298876,0.07162743994073077,-0.0363643277891166,0.08855957916070739,0.006009617944132142,0.021835911351416114
base_oil__ccs_m15__wm,0.06544437432775224,0.14565477067257854,0.014214718790663678,-0.14506717096506347,0.14876759699264228,0.0560399972429289,-0.08479670304046771,0.025533529232844063
base_oil__ccs_m35__wm,0.02760375950914893,0.03652246834081858,0.023032451712493275,-0.09418541583803815,0.1778758760489713,0.271903362367351,-0.03849191874730025,0.2885104774653945
base_oil__ccs_m20__wm,0.09836082325903014,0.14112905816888133,-0.03973217621141726,-0.12023000184704406,0.15899221022502838,0.046357544505377095,-0.08096807499044965,0.0036454228034528305
catdose__antiwear__тип_спиртового_радикала__secondary,0.06190076930281506,-0.10626324466544325,0.1558244448305861,-0.03611858704858859,-0.026126128620477,-0.06689924186508682,0.12008208972436417,-0.00878338717526823
catdose__base_oil__группа_по_api__1,0.09893065852654442,0.1303738817181224,0.01064498920390451,-0.10314910685579703,0.1785973836641157,0.07840146048262522,-0.0778349705108398,0.07785601537793768
textnum__base_oil__происхождение__text_length__wm,-0.09199377312187519,-0.13931430913628012,0.013978527589731105,0.11007765534880933,-0.1921482781325394,-0.0906861892578464,0.02941613079653716,0.1112487132728623
base_oil__pour_point_c__max,0.06749977648076334,0.056638875379092464,-0.11614885800541314,0.1468512487205801,0.056015062825652315,0.1463507636191656,0.042046361506536796,0.07570963803903553
antioxidant__ionization_ev__max,0.14821175553363594,-0.019770219427157495,-0.031154035592556577,0.1403330248631389,0.0022773255462182292,0.049787849527421046,-0.0590224893609229,-0.10574696877708818
textnum__base_oil__происхождение__origin_is_hydrocracking__wm,-0.09536622671453975,-0.14156678828312297,0.006955816206882478,0.13031700298412344,-0.19669599844984426,-0.09477262361002901,0.019778341175998634,0.061142289460056364
antioxidant__lumo_ev__max,0.14159779221238183,-0.0472647752517196,0.02524779385919512,0.16135545497875467,0.002855672606809843,0.0703440796548246,-0.10417945521236506,-0.03187575487885502
base_oil__ccs_m25__wm,0.09388978090235196,0.12732005399384294,-0.03229784245738604,-0.08330274837752043,0.1576220864506855,0.08353608269553699,-0.033738952201698334,-0.013479693807590698
base_oil__sulfur_mgkg__wm,0.10174223864793706,0.1290515776708724,0.02304816030141384,-0.14353383191461402,0.2073809769933284,0.10152006092159738,-0.04567311960417188,-0.02952891938496823
catcount__base_oil__группа_по_api__3,0.09239945684801096,-0.03636666068186938,0.013357370623840757,0.0404144374063454,0.002414376934768283,0.06233235844738982,0.0821626845505809,-0.15990624140711204
textnum__base_oil__происхождение__origin_is_mineral__wm,0.09506576763968547,0.13960908135497282,-0.00294373942029716,-0.1384870538123282,0.19475437329594067,0.09487749926398753,-0.014041394103539944,-0.03225670241677363
catdose__antiwear__разветвленность_радикала___радикалов__single,0.05422908201232915,-0.11140785403803996,0.15589429188529946,-0.02130659372435879,-0.021557157920056098,-0.03538753293026001,0.09603920601151521,-0.04886782885866396
textnum__detergent__номер_cas__cas_count__wm,0.09095856704081619,-0.08510610911981209,0.20578697135636553,-0.04301387561020246,-0.0077776226264961515,0.07756727359848839,-0.032925304045340935,0.14210061365137688
textnum__detergent__номер_cas__cas_count__max,0.08680204884232574,-0.08586558797217714,0.18693931395157704,-0.014790405508081575,-0.008892912873033725,0.08979492821304509,-0.0520666033341804,0.08487871330799636
detergent__tbn_gost__wm,0.014174501510923003,0.029264301325285562,-0.010943242888935981,0.024538140540181667,0.08182765380382517,-0.01697810308420566,-0.0475097601714949,-0.1871260563313203
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__wm,0.02231366275730739,0.06744830045417002,-0.168096025716726,0.2539377629177798,-0.008508381035075618,0.14217536959639065,0.04546922799457598,-0.27563349536532655
textnum__detergent__класс_субстрата__substrate_is_sulfonate__wm,-0.12070361330599592,0.036384741120523666,-0.12960680695549817,0.09372243159631816,-0.08454224829685855,-0.12656115367594203,-0.009373329162204583,0.03602522731026824
antioxidant__steric_factor__wm,-0.1429073278855319,0.02647536868165392,-0.027973403915512438,-0.07622987691727769,-0.02422927812690501,0.05896195667345586,0.03501794261138061,-0.052699811403520265
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__max,-0.10217815065584408,0.08262647806755032,0.07933342545430992,-0.2942593631803653,0.06428326941057626,-0.08120764641741847,-0.01017694679255089,-0.11728504944451605
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,-0.10387676115901155,0.08080434156536473,0.08174925543417523,-0.2927907246613724,0.06258871951252655,-0.08074941764569579,-0.007911101468915173,-0.1081852333349803
base_oil__kv40__wm,0.06886374027198087,0.15010169734299317,-0.06464484003381461,-0.14798884897705208,0.1388449155703236,0.007804485589777935,-0.03511132716723333,0.06521979073033742
detergent__tbn_astm__wm,-0.04535848118936953,0.09558051106387805,0.12415649681488282,-0.10112439966962201,-0.05160020994435208,-0.04098152002319771,-0.07994319445804485,-0.026405599702814735
