feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
temperature_c,0.2000577633527518,-0.20183946165099165,-0.23915297644829486,-0.21496610907698344,-0.07952237547285196,0.08432638477418433,-0.09407118057488595,-0.1275588857964019
base_oil__foam_seq1_cm3__max,-0.0006927385272540049,0.08867001542965318,-0.015976197243437882,0.0014279166868300971,-0.03607468689959662,0.09242500622962083,0.29630495170004534,-0.09561779654973442
severity_exp,0.19406200977877391,-0.18727872575954346,-0.2205668516664959,-0.20256266162171194,-0.09019613411562978,0.09285339083031834,-0.12173640554636651,-0.16373527539200372
base_oil__foam_seq1_cm3__wm,-0.0012326993222825217,0.0859502863745476,-0.01622637501027226,-0.0020290482538927075,-0.04334848470482593,0.09679060534111833,0.2894390595161644,-0.10503106648525935
base_oil__foam_seq2_cm3__max,-0.0022832896593204632,0.08358260405848825,-0.013437269878175862,0.0008462420191219988,-0.04104024862029014,0.08961695506162802,0.3040495849534801,-0.0914365182235505
base_oil__foam_seq2_cm3__wm,-0.0021320760157192238,0.08251292922235788,-0.014833986029397988,-0.0035906020316781874,-0.04737363089300489,0.09579199000425699,0.29108841790933176,-0.10522178242451337
textnum__antiwear__разветвленность_радикала___радикалов__text_length__wm,-0.1669906456168018,0.05774575531333018,-0.054695856944186945,-0.03762581308168231,-0.023588207386656367,-0.012252258535343416,0.04012730931903619,-0.05702199664526934
time_h,-0.17436818244831784,0.23578761344456586,0.28858870697121486,0.2376353061190339,-0.012838961693749469,0.006688325668723919,-0.1399088629419293,-0.16235310751610113
base_oil__foam_seq3_cm3__max,-0.000279075326880098,0.08349702032138864,-0.008356845624708517,0.0008896107988595501,-0.04305905008847887,0.08948581762927986,0.2969006456865652,-0.10270681085943675
textnum__antiwear__разветвленность_радикала___радикалов__text_length__max,-0.16166087395487858,0.04088708152096481,-0.0728534726297147,0.002907239497361431,0.0031756110728751973,-0.02878396218695817,0.028889824109145302,-0.04331953562143695
time_x_biofuel,-0.17952377252803856,0.08060695724957012,0.07597924317664209,0.003954831661400485,-0.11716008647328949,0.13067536402460256,-0.05634734650712617,0.10141221674347474
textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__wm,-0.11110422215651468,0.02434894161464945,-0.12445977163577622,0.11384812607761952,-0.09911744431026347,0.08107363825517293,0.026697482249764606,-0.05426193369995969
base_oil__foam_seq3_cm3__wm,0.0003895290208436474,0.08087120427945999,-0.007654716422951519,-0.005574667837081812,-0.050764046010453125,0.097777500143269,0.27852567880419277,-0.12362023317448942
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__max,0.07352517782435121,-0.0031475289959819654,0.20914240346753607,-0.06935204710121987,-0.012933222108631105,-0.03635152249856593,0.04206766943234109,-0.009975487095815699
textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__max,-0.0869556059210426,-0.017199237965700793,-0.16215627145509953,0.19545160525834754,-0.029794093319773386,0.043046966849486584,-0.005956284363151374,0.0011844229163007274
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.07347871522189546,0.00185195763217494,0.21290738648643737,-0.08133842113597581,-0.02225855758796821,-0.02561734957595196,0.0336670389296566,-0.0020914627704207377
base_oil__ccs_m15__max,0.036073155203420124,0.1478697264878043,-0.03631470515869122,-0.026086777589874603,0.10618430964371657,0.11294269966861324,-0.10880139610084386,-0.008440405192529813
biofuel_pct,-0.1654749465756509,0.04231873910496508,0.02546514781160167,-0.052499981888546085,-0.14947681620644196,0.1617220915070004,-0.0701276131164226,0.0974702107744679
interaction__biofuel_x_zddp,-0.19167169323283675,0.08815907395979702,0.09011188734922923,-0.03429697416184826,0.05940783535476021,-0.07384082666628808,0.1651595475498655,0.21043888588253082
temperature_x_biofuel,-0.16097711081550997,0.03249854831614152,0.012567618716932901,-0.06904043695628038,-0.16507802183217643,0.17717571709159832,-0.08645372921400168,0.08324038585178425
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__wm,-0.06696650449438835,0.0032099167859690777,-0.20441554083520536,0.08760975550811423,0.053160782056684626,-0.00862422022561741,-0.018938732890896225,0.0052473447649959955
antiwear__sulfur_pct__wm,0.08379067455454815,-0.0771761637498811,0.029226813183067628,-0.07284273938415627,0.12425576905888203,-0.1521795432493106,-0.07171139031893069,0.05333802280234486
antiwear__sulfur_pct__max,0.08398788031829829,-0.0777445139870439,0.0269265792766299,-0.06704188940324476,0.13126035181096965,-0.15707918591015368,-0.06619633193588337,0.05143458416075708
temperature_x_time,-0.14097008653396415,0.21482148465519046,0.26567798449433905,0.2137941691081874,-0.04200810676788927,0.03821170100444257,-0.2040122782397057,-0.24054105196676126
base_oil__kv100__max,-0.04928893067817858,0.13714548139909047,-0.07394017000272805,0.08346369037085437,0.11367310627894546,-0.06113643678900161,-0.010459623862451464,0.11376818994608236
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__max,-0.06374981261088178,-0.004586926560323261,-0.2044805315901946,0.1122030934394037,0.07202535507953085,-0.02936250704117403,-0.018327356099165384,-0.018105519289820522
catcount__antiwear__тип_спиртового_радикала__secondary,0.07352517782435121,-0.0031475289959819654,0.20914240346753607,-0.06935204710121987,-0.012933222108631105,-0.03635152249856593,0.04206766943234109,-0.009975487095815699
biofuel_x_catalyst,-0.13537530641565848,0.016458412687004847,-0.009041543662390863,-0.09292302989922778,-0.21836341847359989,0.26008898700043454,-0.17312335805987916,0.05027393938790301
base_oil__ccs_m20__max,0.06326949605324006,0.1247806972500401,-0.05877252971516001,-0.0002930885820023439,0.10799704807460651,0.11324403372387476,-0.12035088504045174,0.009283242879446268
catcount__antiwear__разветвленность_радикала___радикалов__single,0.06704948122405302,-0.008227033982542232,0.200430463496218,-0.07506480707465703,-0.042890045572673174,-0.0030940520581687176,0.027824840573285256,-0.013257715400699947
base_oil__ccs_m25__max,0.057746740046719605,0.1194603423531948,-0.03730528907607918,0.03747432322377753,0.10381114757010454,0.11711738531149164,-0.05195362320184032,0.03408138199968113
catcount__base_oil__группа_по_api__1,0.06811660085401577,0.13564459961636643,-0.0020868062678049202,-0.0044316827985715025,0.14370441200161924,0.11047617328126723,-0.050736017175350825,0.09269721291767133
